"","worker_inc","empedu_p","empfoo_p","empgov_p","empind_p","empmed_p","empofc_p","empoth_p","empret_p","emprsc_p","empsvc_p","emptot_p"
"1","low",489,556,103,569,599,654,556,597,0,625,690
"2","med",464,532,93,545,567,618,519,555,0,599,657
"3","high",886,1021,202,1090,1119,1230,1051,1112,0,1187,1307
"4","very_high",566,654,130,708,703,766,668,699,0,745,816
