tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
1465,6311,191001673,work,mandatory,3634.0,31566,11.0,11.0,BIKE,0
1466,6313,191001694,work,mandatory,6275.0,5620,7.0,7.0,WALK_LOC,0
1467,6314,191001698,work,mandatory,13688.0,21639,9.0,9.0,WALK,0
1468,6315,191001700,work,mandatory,13681.0,15705,6.0,6.0,WALK_LOC,0
1470,6316,191001700,work,mandatory,27440.0,29670,11.0,11.0,DRIVEALONEFREE,0
1469,6316,191001700,eatout,non_mandatory,29191.0,29670,10.0,10.0,WALK,0
1471,6321,191001755,work,mandatory,740.0,7944,8.0,8.0,BIKE,0
1473,6322,191001755,work,mandatory,34644.0,7944,9.0,9.0,WALK_LR,0
1472,6321,191001755,shopping,joint,19133.0,7944,19.0,19.0,WALK,0
1476,6325,191001794,work,mandatory,34457.0,14391,9.0,9.0,DRIVEALONEFREE,0
1478,6326,191001829,work,mandatory,32547.0,30195,7.0,7.0,WALK_LR,0
1479,6328,191001849,escort,non_mandatory,40389.0,37809,6.0,6.0,SHARED2FREE,0
1482,6328,191001849,escort,non_mandatory,40389.0,37809,16.0,16.0,SHARED2FREE,0
1481,6328,191001849,othmaint,non_mandatory,37524.0,37809,11.0,11.0,SHARED2FREE,0
1480,6328,191001849,social,non_mandatory,37760.0,37809,8.0,8.0,WALK,0
1483,6328,191001849,social,non_mandatory,40174.0,37809,16.0,16.0,SHARED3FREE,0
1484,6330,191001849,school,mandatory,40174.0,37809,7.0,7.0,WALK,0
1485,6332,191001933,work,mandatory,20623.0,37112,8.0,8.0,WALK_FRY,0
1487,6333,191001933,work,mandatory,39700.0,37112,9.0,9.0,DRIVEALONEFREE,0
1489,6333,191001933,work,mandatory,39700.0,37112,16.0,16.0,DRIVEALONEFREE,0
1488,6333,191001933,social,non_mandatory,37430.0,37112,16.0,16.0,WALK,0
1490,6334,191001935,work,mandatory,27204.0,33301,9.0,9.0,WALK_LOC,0
1491,6335,191001960,work,mandatory,30989.0,27458,7.0,7.0,WALK_LR,0
1492,6335,191001960,eatout,non_mandatory,26293.0,27458,19.0,19.0,DRIVEALONEFREE,0
1493,6336,191001960,work,mandatory,11622.0,27458,7.0,7.0,WALK_LR,0
1494,6338,191002083,work,mandatory,28788.0,59479,5.0,5.0,DRIVEALONEFREE,0
1495,6340,191002087,work,mandatory,31749.0,10540,8.0,8.0,WALK,0
1496,6341,191002087,eatout,non_mandatory,19800.0,10540,17.0,17.0,WALK,0
1497,6342,191002087,eatout,non_mandatory,19800.0,31749,17.0,17.0,WALK,0
1498,6347,191002211,work,mandatory,10547.0,16733,10.0,10.0,WALK_LOC,0
1500,6349,191002296,work,mandatory,66197.0,4369,8.0,8.0,WALK_FRY,0
1501,6349,191002296,social,non_mandatory,11297.0,4369,19.0,19.0,SHARED2FREE,0
1503,6353,191002355,eatout,non_mandatory,54908.0,41440,17.0,17.0,SHARED2FREE,0
1502,6353,191002355,social,non_mandatory,49531.0,41440,15.0,15.0,SHARED2FREE,0
1504,6354,191002356,work,mandatory,34645.0,32761,7.0,7.0,WALK_LOC,0
1505,6372,191002564,work,mandatory,35700.0,30985,7.0,7.0,DRIVEALONEFREE,0
1506,6374,191002584,work,mandatory,9033.0,25925,7.0,7.0,WALK,0
1509,6374,191002584,shopping,non_mandatory,14181.0,25925,18.0,18.0,WALK_LOC,0
1510,6377,191002674,work,mandatory,37045.0,36580,7.0,7.0,DRIVEALONEFREE,0
1512,6378,191002674,work,mandatory,39482.0,36580,6.0,6.0,DRIVEALONEFREE,0
1511,6377,191002674,othmaint,joint,38720.0,36580,17.0,17.0,SHARED2FREE,0
1514,6379,191002744,social,non_mandatory,8764.0,22145,8.0,8.0,WALK,0
1515,6379,191002744,social,non_mandatory,2579.0,22145,9.0,9.0,SHARED3FREE,0
1516,6379,191002744,social,non_mandatory,24288.0,22145,19.0,19.0,WALK,0
1517,6380,191002744,work,mandatory,12257.0,22145,9.0,9.0,WALK_LOC,0
1519,6389,191002944,eatout,non_mandatory,20942.0,22883,19.0,19.0,DRIVEALONEFREE,0
1520,6391,191002958,work,mandatory,511.0,20936,17.0,17.0,DRIVEALONEFREE,0
1522,6395,191003031,school,mandatory,31473.0,27410,8.0,8.0,WALK_LOC,0
1523,6395,191003031,othmaint,non_mandatory,30899.0,27410,16.0,16.0,SHARED3FREE,0
1521,6394,191003031,othmaint,joint,30899.0,27410,16.0,16.0,SHARED3FREE,0
1525,6397,191003036,eatout,non_mandatory,33876.0,27205,8.0,8.0,WALK_LOC,0
1527,6399,191003048,work,mandatory,51257.0,45814,6.0,6.0,BIKE,0
1528,6400,191003068,othmaint,non_mandatory,14450.0,17469,12.0,12.0,WALK_LOC,0
1529,6400,191003068,othmaint,non_mandatory,11334.0,30716,17.0,17.0,WALK_LOC,0
1530,6401,191003072,work,mandatory,34637.0,25947,6.0,6.0,WALK_LOC,0
1531,6401,191003072,shopping,non_mandatory,25091.0,25947,17.0,17.0,SHARED2FREE,0
1532,6401,191003072,shopping,non_mandatory,27533.0,25947,18.0,18.0,SHARED2FREE,0
1533,6402,191003072,work,mandatory,7730.0,25947,9.0,9.0,DRIVEALONEFREE,0
1535,6402,191003072,shopping,non_mandatory,7744.0,25947,18.0,18.0,SHARED2FREE,0
1534,6402,191003072,social,non_mandatory,13621.0,25947,17.0,17.0,WALK,0
1536,6414,191003182,work,mandatory,32546.0,6640,7.0,7.0,BIKE,0
1538,6415,191003182,work,mandatory,3844.0,6640,8.0,8.0,WALK,0
1540,6415,191003182,work,mandatory,23978.0,6640,12.0,12.0,WALK,0
1539,6415,191003182,othmaint,non_mandatory,13945.0,6640,11.0,11.0,DRIVEALONEFREE,0
1541,6415,191003182,social,non_mandatory,10045.0,6640,21.0,21.0,WALK,0
1542,6420,191003227,work,mandatory,18493.0,16196,5.0,5.0,DRIVEALONEFREE,0
1543,6420,191003227,shopping,non_mandatory,27491.0,25299,16.0,16.0,DRIVEALONEFREE,0
1544,6431,191003306,work,mandatory,31218.0,33265,7.0,7.0,WALK_LR,0
1547,6432,191003306,social,non_mandatory,4102.0,16466,7.0,7.0,WALK_LR,0
1551,6450,191003577,work,mandatory,21187.0,21172,8.0,8.0,WALK_LOC,0
1553,6468,191003795,work,mandatory,20796.0,11082,7.0,7.0,WALK_LOC,0
1555,6469,191003813,eatout,non_mandatory,43285.0,52800,17.0,17.0,DRIVEALONEFREE,0
1554,6469,191003813,othmaint,non_mandatory,43285.0,52800,9.0,9.0,DRIVEALONEFREE,0
1556,6470,191003813,work,mandatory,40572.0,52800,6.0,6.0,DRIVEALONEFREE,0
1559,6472,191003855,work,mandatory,39987.0,36580,5.0,5.0,DRIVEALONEFREE,0
1558,6471,191003855,eatout,joint,38638.0,36580,14.0,14.0,SHARED3FREE,0
1557,6471,191003855,shopping,joint,38599.0,36580,8.0,8.0,SHARED2FREE,0
1562,6474,191003893,work,mandatory,22228.0,13871,9.0,9.0,DRIVEALONEFREE,0
1563,6474,191003893,escort,non_mandatory,25925.0,4125,19.0,19.0,SHARED2FREE,0
1564,6475,191003893,work,mandatory,29355.0,4125,10.0,10.0,WALK,0
1565,6475,191003893,social,non_mandatory,25925.0,13871,19.0,19.0,SHARED2FREE,0
1566,6479,191003974,othmaint,non_mandatory,17576.0,34645,16.0,16.0,BIKE,0
1567,6479,191003974,shopping,non_mandatory,34646.0,34645,16.0,16.0,BIKE,0
1568,6485,191004013,work,mandatory,63790.0,1686,5.0,5.0,DRIVEALONEFREE,0
1570,6486,191004013,eatout,joint,3082.0,1686,15.0,15.0,SHARED3FREE,0
1575,6492,191004031,othmaint,non_mandatory,810.0,14631,9.0,9.0,SHARED3FREE,0
1577,6493,191004031,work,mandatory,28850.0,14631,7.0,7.0,SHARED3FREE,0
1579,6494,191004031,othmaint,non_mandatory,810.0,14631,7.0,7.0,SHARED3FREE,0
1581,6495,191004031,escort,non_mandatory,28030.0,14631,7.0,7.0,SHARED3FREE,0
1576,6492,191004031,othmaint,joint,21151.0,14631,17.0,17.0,SHARED3FREE,0
1586,6510,191004204,work,mandatory,13685.0,28882,7.0,7.0,WALK_LOC,0
1587,6513,191004322,work,mandatory,9033.0,31228,11.0,11.0,WALK,0
1594,6524,191004408,work,mandatory,15449.0,7940,8.0,8.0,WALK_LOC,0
1593,6524,191004408,social,non_mandatory,21815.0,14652,7.0,7.0,WALK,0
1596,6525,191004408,work,mandatory,26923.0,25073,6.0,6.0,DRIVEALONEFREE,0
1595,6524,191004408,social,joint,21815.0,25073,17.0,17.0,WALK,0
1601,6534,191004434,school,mandatory,9795.0,24333,6.0,6.0,SHARED3FREE,0
1602,6535,191004434,othmaint,non_mandatory,21021.0,24333,6.0,6.0,SHARED3FREE,0
1603,6538,191004453,work,mandatory,11609.0,4361,6.0,6.0,WALK_LOC,0
1604,6538,191004453,work,mandatory,9497.0,11609,7.0,7.0,DRIVEALONEFREE,1603
1605,6545,191004566,work,mandatory,31367.0,33563,7.0,7.0,SHARED3FREE,0
1607,6545,191004566,social,non_mandatory,8743.0,33563,18.0,18.0,SHARED2FREE,0
1608,6546,191004566,work,mandatory,12926.0,33563,7.0,7.0,WALK_LR,0
1610,6558,191004671,social,non_mandatory,24271.0,14944,18.0,18.0,WALK_LOC,0
1611,6563,191004698,work,mandatory,7925.0,3871,8.0,8.0,SHARED3FREE,0
1612,6585,191004952,school,mandatory,12926.0,28021,11.0,11.0,WALK,0
1613,6585,191004952,school,mandatory,12926.0,28021,15.0,15.0,WALK,0
1615,6586,191004973,eatout,joint,12386.0,27742,19.0,19.0,WALK_LOC,0
1619,6595,191005127,eatout,non_mandatory,43504.0,43820,12.0,12.0,DRIVEALONEFREE,0
1620,6595,191005127,eatout,joint,48749.0,43820,17.0,17.0,SHARED2FREE,0
1621,6596,191005127,social,non_mandatory,44964.0,43820,7.0,7.0,DRIVEALONEFREE,0
1623,6598,191005129,shopping,non_mandatory,40281.0,40281,8.0,8.0,SHARED2FREE,0
1624,6614,191005361,work,mandatory,34636.0,843,8.0,8.0,WALK_LR,0
1625,6614,191005361,social,non_mandatory,25820.0,843,19.0,19.0,SHARED2FREE,0
1627,6615,191005361,othmaint,non_mandatory,6402.0,843,17.0,17.0,SHARED2FREE,0
1626,6615,191005361,shopping,non_mandatory,21038.0,843,13.0,13.0,DRIVEALONEFREE,0
1628,6615,191005361,social,non_mandatory,33270.0,843,19.0,19.0,SHARED2FREE,0
1629,6620,191005465,othmaint,non_mandatory,52551.0,45618,14.0,14.0,DRIVEALONEFREE,0
1630,6621,191005465,shopping,non_mandatory,52862.0,45618,11.0,11.0,DRIVEALONEFREE,0
1631,6631,191005716,shopping,non_mandatory,27157.0,21931,11.0,11.0,WALK,0
1632,6632,191005721,work,mandatory,56594.0,19537,8.0,8.0,DRIVEALONEFREE,0
1633,6633,191005721,work,mandatory,19157.0,19537,14.0,14.0,WALK,0
1634,6637,191005781,work,mandatory,23367.0,34278,6.0,6.0,WALK_LOC,0
1635,6638,191005781,work,mandatory,910.0,15975,11.0,11.0,WALK_LOC,0
1636,6641,191005786,escort,non_mandatory,27207.0,29643,8.0,8.0,BIKE,0
1638,6641,191005786,escort,non_mandatory,27207.0,29643,16.0,16.0,BIKE,0
1637,6641,191005786,shopping,non_mandatory,26692.0,29643,13.0,13.0,DRIVEALONEFREE,0
1639,6642,191005786,work,mandatory,13334.0,29643,8.0,8.0,DRIVEALONEFREE,0
1640,6643,191005786,school,mandatory,27207.0,29643,8.0,8.0,BIKE,0
1641,6647,191005819,work,mandatory,58100.0,63416,7.0,7.0,SHARED3FREE,0
1642,6648,191005819,work,mandatory,63330.0,63416,7.0,7.0,SHARED3FREE,0
1644,6649,191005819,school,mandatory,55929.0,63416,9.0,9.0,SHARED3FREE,0
1646,6650,191005819,school,mandatory,63823.0,63416,7.0,7.0,SHARED3FREE,0
1643,6648,191005819,social,joint,58539.0,63416,17.0,17.0,SHARED3FREE,0
1648,6654,191005865,work,mandatory,26814.0,22442,9.0,9.0,WALK_LOC,0
1649,6655,191005865,work,mandatory,25472.0,22442,8.0,8.0,SHARED2FREE,0
1651,6659,191005876,eatout,non_mandatory,2422.0,7962,17.0,17.0,DRIVEALONEFREE,0
1650,6659,191005876,social,non_mandatory,15947.0,7962,6.0,6.0,DRIVEALONEFREE,0
1652,6660,191005876,escort,non_mandatory,16226.0,7962,12.0,12.0,SHARED3FREE,0
1654,6660,191005876,escort,non_mandatory,33983.0,7962,16.0,16.0,SHARED3FREE,0
1653,6660,191005876,social,non_mandatory,17793.0,7962,14.0,14.0,SHARED3FREE,0
1657,6667,191005915,work,mandatory,20797.0,21193,10.0,10.0,DRIVEALONEFREE,0
1658,6675,191006149,work,mandatory,3632.0,30432,8.0,8.0,WALK_LOC,0
1659,6676,191006149,school,mandatory,17738.0,30432,8.0,8.0,WALK,0
1660,6680,191006204,work,mandatory,11236.0,20628,7.0,7.0,WALK_LOC,0
1661,6682,191006222,shopping,non_mandatory,53564.0,51878,12.0,12.0,DRIVEALONEFREE,0
1664,6692,191006405,work,mandatory,10330.0,21013,8.0,8.0,SHARED2FREE,0
1666,6693,191006405,work,mandatory,22443.0,21013,9.0,9.0,WALK,0
1667,6698,191006490,work,mandatory,33089.0,25075,10.0,10.0,BIKE,0
1668,6699,191006490,work,mandatory,60465.0,25075,9.0,9.0,DRIVEALONEFREE,0
1669,6700,191006523,work,mandatory,26814.0,21975,9.0,9.0,DRIVEALONEFREE,0
1670,6701,191006523,work,mandatory,23769.0,21975,9.0,9.0,DRIVEALONEFREE,0
1672,6707,191006634,othmaint,non_mandatory,32320.0,25909,14.0,14.0,DRIVEALONEFREE,0
1671,6707,191006634,shopping,non_mandatory,8422.0,25909,9.0,9.0,DRIVEALONEFREE,0
1673,6709,191006642,social,joint,56915.0,65467,17.0,17.0,SHARED3FREE,0
1675,6711,191006673,work,mandatory,12830.0,16213,7.0,7.0,SHARED2FREE,0
1677,6711,191006673,escort,non_mandatory,20451.0,16213,19.0,19.0,SHARED2FREE,0
1682,6715,191006702,social,non_mandatory,25581.0,33848,18.0,18.0,DRIVEALONEFREE,0
1683,6716,191006702,social,non_mandatory,23220.0,21013,18.0,18.0,WALK,0
1688,6723,191006804,work,mandatory,132.0,1438,10.0,10.0,WALK_LOC,0
1689,6725,191006818,work,mandatory,28987.0,31955,7.0,7.0,DRIVEALONEFREE,0
