trip_id,survey_trip_id,person_id,household_id,survey_tour_id,outbound,purpose,destination,origin,depart,trip_mode,tour_id,trip_num
2609,90.0,7,17100059,10.0,True,work,14261,2902,8.0,Other,326,1
2613,130.0,7,17100059,10.0,False,Home,2901,14261,17.0,Other,326,1
12777,250.0,38,17100248,30.0,True,work,9807,13169,7.0,BIKE,1597,1
12781,290.0,38,17100248,30.0,False,Home,13169,9807,17.0,BIKE,1597,1
12753,330.0,38,17100248,40.0,True,social,2904,13169,17.0,WALK,1594,1
12754,340.0,38,17100248,40.0,True,social,21464,2904,18.0,WALK,1594,2
12757,370.0,38,17100248,40.0,False,eatout,13174,21464,19.0,WALK,1594,1
12758,380.0,38,17100248,40.0,False,Home,13169,13174,21.0,WALK,1594,2
14417,410.0,43,17100303,50.0,True,work,4101,1469,7.0,DRIVEALONEFREE,1802,1
14421,450.0,43,17100303,50.0,False,othmaint,17022,4101,16.0,DRIVEALONEFREE,1802,1
14422,460.0,43,17100303,50.0,False,Home,1469,17022,16.0,DRIVEALONEFREE,1802,2
14369,490.0,43,17100303,60.0,True,shopping,22178,1469,17.0,DRIVEALONEFREE,1796,1
14370,500.0,43,17100303,60.0,True,escort,24554,22178,17.0,DRIVEALONEFREE,1796,2
14371,510.0,43,17100303,60.0,True,shopping,66099,24554,18.0,SHARED2FREE,1796,3
14373,530.0,43,17100303,60.0,False,Home,1469,66099,19.0,SHARED2FREE,1796,1
14257,570.0,43,17100303,70.0,True,shopping,9505,1469,20.0,SHARED2FREE,1782,1
14261,610.0,43,17100303,70.0,False,Home,1469,9505,20.0,SHARED2FREE,1782,1
14745,650.0,44,17100303,80.0,True,work,24554,3874,9.0,WALK_LOC,1843,1
14746,660.0,44,17100303,80.0,True,work,29172,24554,13.0,WALK,1843,2
14749,690.0,44,17100303,80.0,False,shopping,66099,29172,18.0,SHARED2FREE,1843,1
14750,700.0,44,17100303,80.0,False,Home,1469,66099,19.0,SHARED2FREE,1843,2
15729,810.0,47,17100342,100.0,True,work,21615,21436,7.0,WALK_LOC,1966,1
15733,850.0,47,17100342,100.0,False,social,19853,21615,16.0,DRIVEALONEFREE,1966,1
15734,860.0,47,17100342,100.0,False,Home,7698,19853,19.0,DRIVEALONEFREE,1966,2
16057,970.0,48,17100342,120.0,True,work,8426,21436,10.0,DRIVEALONEFREE,2007,1
16058,980.0,48,17100342,120.0,True,work,3387,8426,10.0,DRIVEALONEFREE,2007,2
16061,1010.0,48,17100342,120.0,False,work,28362,3387,20.0,SHARED3FREE,2007,1
16062,1020.0,48,17100342,120.0,False,work,17001,28362,21.0,SHARED3FREE,2007,2
16063,1030.0,48,17100342,120.0,False,Home,21436,17001,21.0,TNC,2007,3
17041,1130.0,51,17100410,140.0,True,work,33097,746,9.0,WALK_LOC,2130,1
17045,1170.0,51,17100410,140.0,False,eatout,13168,30988,18.0,WALK,2130,1
17046,1180.0,51,17100410,140.0,False,Home,746,13168,19.0,TNC,2130,2
22945,1210.0,69,17100501,150.0,True,work,18218,28618,7.0,WALK_LOC,2868,1
22949,1250.0,69,17100501,150.0,False,Home,22442,35592,17.0,WALK_LOC,2868,1
24585,1290.0,74,17100652,160.0,True,work,34223,5804,9.0,DRIVEALONEFREE,3073,1
24589,1330.0,74,17100652,160.0,False,Home,5804,34223,13.0,DRIVEALONEFREE,3073,1
24593,1370.0,74,17100652,170.0,True,work,34223,5804,13.0,DRIVEALONEFREE,3074,1
24597,1410.0,74,17100652,170.0,False,Home,5804,34223,19.0,DRIVEALONEFREE,3074,1
24441,1450.0,74,17100652,180.0,True,social,16098,5804,19.0,SHARED2FREE,3055,1
24445,1490.0,74,17100652,180.0,False,work,34223,11191,21.0,SHARED2FREE,3055,1
24446,1500.0,74,17100652,180.0,False,Home,35782,34223,21.0,SHARED2FREE,3055,2
24889,1530.0,75,17100652,190.0,True,social,35782,5804,15.0,WALK,3111,1
24893,1570.0,75,17100652,190.0,False,Home,5804,35782,15.0,WALK,3111,1
25521,1690.0,77,17100654,210.0,True,shopping,2817,18260,11.0,DRIVEALONEFREE,3190,1
25525,1730.0,77,17100654,210.0,False,shopping,16879,2817,12.0,DRIVEALONEFREE,3190,1
25526,1740.0,77,17100654,210.0,False,shopping,4499,16879,13.0,DRIVEALONEFREE,3190,2
25527,1750.0,77,17100654,210.0,False,Home,18260,4499,14.0,DRIVEALONEFREE,3190,3
25329,1770.0,77,17100654,220.0,True,escort,2090,18260,16.0,DRIVEALONEFREE,3166,1
25333,1810.0,77,17100654,220.0,False,Home,18260,2090,17.0,SHARED2FREE,3166,1
27513,2010.0,83,17100675,250.0,True,social,21426,63106,11.0,DRIVEALONEFREE,3439,1
27514,2020.0,83,17100675,250.0,True,social,14892,21426,11.0,SHARED2FREE,3439,2
27517,2050.0,83,17100675,250.0,False,social,58156,14892,16.0,SHARED2FREE,3439,1
27518,2060.0,83,17100675,250.0,False,social,59901,58156,17.0,DRIVEALONEFREE,3439,2
27519,2070.0,83,17100675,250.0,False,Home,63106,59901,18.0,DRIVEALONEFREE,3439,3
34753,2090.0,105,17100818,260.0,True,work,15372,4369,8.0,DRIVEALONEFREE,4344,1
34757,2130.0,105,17100818,260.0,False,othmaint,21872,15372,20.0,DRIVEALONEFREE,4344,1
34758,2140.0,105,17100818,260.0,False,Home,4369,21872,20.0,DRIVEALONEFREE,4344,2
35673,2250.0,108,17100834,280.0,True,school,15990,19537,8.0,WALK,4459,1
35677,2290.0,108,17100834,280.0,False,Home,19537,15990,17.0,TNC,4459,1
36041,2330.0,109,17100834,290.0,True,school,5149,19537,7.0,TNC,4505,1
36042,2340.0,109,17100834,290.0,True,social,13673,5149,10.0,WALK,4505,2
36045,2370.0,109,17100834,290.0,False,school,5149,2902,15.0,WALK,4505,1
36046,2380.0,109,17100834,290.0,False,othmaint,33329,5149,17.0,WALK,4505,2
36047,2390.0,109,17100834,290.0,False,Home,19537,33329,17.0,TNC,4505,3
38361,2410.0,116,17100868,300.0,True,work,24463,3189,7.0,WALK_LOC,4795,1
38365,2450.0,116,17100868,300.0,False,Home,3189,24463,17.0,WALK_LOC,4795,1
42953,2490.0,130,17100942,310.0,True,work,32318,21671,8.0,WALK_LOC,5369,1
42957,2530.0,130,17100942,310.0,False,othmaint,34636,32318,17.0,WALK,5369,1
42958,2540.0,130,17100942,310.0,False,eatout,21013,34636,18.0,WALK,5369,2
42959,2550.0,130,17100942,310.0,False,Home,21671,21013,19.0,WALK_LOC,5369,3
42929,2570.0,130,17100942,320.0,True,social,18349,21671,21.0,TNC,5366,1
42933,2610.0,130,17100942,320.0,False,Home,21671,18349,23.0,TNC,5366,1
44593,2650.0,135,17100964,330.0,True,work,17675,35782,8.0,SHARED2FREE,5574,1
44594,2660.0,135,17100964,330.0,True,work,9683,17675,8.0,SHARED2FREE,5574,2
44597,2690.0,135,17100964,330.0,False,Home,35782,9683,17.0,SHARED2FREE,5574,1
44505,2730.0,135,17100964,340.0,True,othmaint,17675,35782,18.0,WALK,5563,1
44509,2770.0,135,17100964,340.0,False,Home,35782,17675,18.0,WALK,5563,1
44921,2810.0,136,17100964,350.0,True,work,3532,35782,6.0,WALK_LOC,5615,1
44925,2850.0,136,17100964,350.0,False,Home,35782,3532,15.0,WALK_LOC,5615,1
46513,2970.0,141,17100986,370.0,True,shopping,13451,21088,17.0,DRIVEALONEFREE,5814,1
46514,2980.0,141,17100986,370.0,True,shopping,33509,13451,17.0,DRIVEALONEFREE,5814,2
46517,3010.0,141,17100986,370.0,False,Home,21088,33509,17.0,DRIVEALONEFREE,5814,1
48177,3050.0,146,17101042,380.0,True,social,32046,3193,14.0,WALK,6022,1
48181,3090.0,146,17101042,380.0,False,Home,3193,32046,15.0,WALK_LOC,6022,1
49185,3130.0,149,17101086,390.0,True,escort,4158,34349,8.0,WALK_LOC,6148,1
49186,3140.0,149,17101086,390.0,True,work,21189,4158,9.0,WALK,6148,2
49189,3170.0,149,17101086,390.0,False,escort,4160,21189,17.0,WALK,6148,1
49190,3180.0,149,17101086,390.0,False,Home,34349,4159,17.0,WALK_LOC,6148,2
49513,3210.0,150,17101086,400.0,True,work,14424,34349,7.0,DRIVEALONEFREE,6189,1
