tour_id,household_id,participant_num,participant_id,person_id
7,17100303,1,71,43
7,17100303,2,72,44
18,17100652,1,181,74
18,17100652,3,183,76
150,17104660,1,1501,564
150,17104660,2,1502,565
188,17105864,2,1882,704
188,17105864,3,1883,705
186,17105864,2,1862,704
186,17105864,3,1863,705
214,17107519,1,2141,895
214,17107519,2,2142,896
259,17109615,1,2591,1097
259,17109615,3,2593,1099
259,17109615,4,2594,1100
275,17110378,1,2751,1179
275,17110378,3,2753,1181
275,17110378,4,2754,1182
283,17110481,1,2831,1203
283,17110481,2,2832,1204
303,17111733,1,3031,1305
303,17111733,2,3032,1306
378,17114508,1,3781,1608
378,17114508,3,3783,1610
406,17115092,1,4061,1680
406,17115092,2,4062,1681
406,17115092,3,4063,1682
457,17116850,2,4572,1875
457,17116850,3,4573,1876
458,17116850,2,4582,1875
458,17116850,3,4583,1876
500,17119143,1,5001,2091
500,17119143,2,5002,2092
500,17119143,3,5003,2093
518,17119780,1,5181,2166
518,17119780,2,5182,2167
528,17120168,1,5281,2213
528,17120168,2,5282,2214
532,17120251,1,5321,2220
532,17120251,3,5323,2222
586,17123158,1,5861,2521
586,17123158,2,5862,2522
588,17123194,1,5881,2529
588,17123194,2,5882,2530
608,17124053,2,6082,2639
608,17124053,3,6083,2640
607,17124053,1,6071,2638
607,17124053,3,6073,2640
646,17125955,1,6461,2865
646,17125955,2,6462,2866
646,17125955,4,6464,2868
646,17125955,5,6465,2869
657,17126082,1,6571,2886
657,17126082,2,6572,2887
671,17126705,1,6711,2958
671,17126705,3,6713,2960
743,17129082,1,7431,3241
743,17129082,3,7433,3243
758,17129494,1,7581,3301
758,17129494,2,7582,3302
802,17130258,3,8023,3401
802,17130258,4,8024,3402
833,17130743,2,8332,3472
833,17130743,3,8333,3473
889,17132859,1,8891,3698
889,17132859,3,8893,3700
903,17133389,1,9031,3773
903,17133389,3,9033,3775
942,17135145,2,9422,3974
942,17135145,3,9423,3975
942,17135145,4,9424,3976
1034,17138624,2,10342,4402
1034,17138624,4,10344,4404
1058,17139080,1,10581,4452
1058,17139080,3,10583,4454
1073,17139904,1,10731,4554
1073,17139904,2,10732,4555
1074,17139904,1,10741,4554
1074,17139904,2,10742,4555
1094,17141957,1,10941,4807
1094,17141957,3,10943,4809
1095,17141957,2,10952,4808
1095,17141957,3,10953,4809
1131,17143031,1,11311,4934
1131,17143031,2,11312,4935
1156,17143513,2,11562,4990
1156,17143513,4,11564,4992
1161,17143662,1,11611,5012
1161,17143662,3,11613,5014
1171,17144473,1,11711,5139
1171,17144473,3,11713,5141
1176,17144837,1,11761,5179
1176,17144837,3,11763,5181
1176,17144837,4,11764,5182
1208,17146110,1,12081,5281
1208,17146110,4,12084,5284
1209,17146110,1,12091,5281
1209,17146110,3,12093,5283
1209,17146110,4,12094,5284
1240,17146990,1,12401,5374
1240,17146990,3,12403,5376
1255,17147739,1,12551,5455
1255,17147739,2,12552,5456
1320,17150862,1,13201,5786
1320,17150862,2,13202,5787
1358,17152111,1,13581,5935
1358,17152111,2,13582,5936
1379,17153090,1,13791,6038
1379,17153090,2,13792,6039
