tour_id,household_id,participant_num,participant_id,person_id
1383,17153104,1,13831,6040
1383,17153104,2,13832,6041
1425,191000396,2,14252,6201
1425,191000396,3,14253,6202
1429,191000511,2,14292,6216
1429,191000511,4,14294,6218
1460,191001429,1,14601,6291
1460,191001429,3,14603,6293
1460,191001429,4,14604,6294
1472,191001755,1,14721,6321
1472,191001755,2,14722,6322
1511,191002674,1,15111,6377
1511,191002674,2,15112,6378
1521,191003031,1,15211,6394
1521,191003031,5,15215,6396
1558,191003855,1,15581,6471
1558,191003855,4,15584,6473
1557,191003855,1,15571,6471
1557,191003855,4,15574,6473
1570,191004013,2,15702,6486
1570,191004013,3,15703,6487
1570,191004013,4,15704,6488
1576,191004031,1,15761,6492
1576,191004031,2,15762,6493
1576,191004031,3,15763,6494
1576,191004031,4,15764,6495
1576,191004031,6,15766,6497
1595,191004408,1,15951,6524
1595,191004408,2,15952,6525
1615,191004973,1,16151,6586
1615,191004973,2,16152,6587
1620,191005127,1,16201,6595
1620,191005127,2,16202,6596
1643,191005819,2,16432,6648
1643,191005819,3,16433,6649
1643,191005819,4,16434,6650
1673,191006642,2,16732,6709
1673,191006642,8,16738,6710
1725,191007500,1,17251,6779
1725,191007500,2,17252,6780
1754,191008224,2,17542,6842
1754,191008224,3,17543,6843
1774,191008702,1,17741,6875
1774,191008702,3,17743,6877
1840,191009807,1,18401,6982
1840,191009807,2,18402,6983
1862,191010405,2,18622,7024
1862,191010405,3,18623,7025
1889,191011470,2,18892,7107
1889,191011470,3,18893,7108
1939,191012685,1,19391,7208
1939,191012685,3,19393,7210
1941,191012707,1,19411,7212
1941,191012707,3,19413,7214
1988,191013965,1,19881,7320
1988,191013965,3,19883,7322
1998,191013989,1,19981,7324
1998,191013989,2,19982,7325
2026,191014836,3,20263,7384
2026,191014836,4,20264,7385
2039,191015234,1,20391,7411
2039,191015234,2,20392,7412
2110,191016902,1,21101,7524
2110,191016902,2,21102,7525
2128,191017353,1,21281,7554
2128,191017353,2,21282,7555
2140,191017590,1,21401,7582
2140,191017590,2,21402,7583
2154,191017994,1,21541,7607
2154,191017994,3,21543,7609
2154,191017994,4,21544,7610
2183,191018362,2,21832,7648
2183,191018362,4,21834,7650
2201,191018738,2,22012,7678
2201,191018738,3,22013,7679
2201,191018738,4,22014,7680
2224,191019214,1,22241,7719
2224,191019214,4,22244,7721
2224,191019214,5,22245,7722
2259,191020003,2,22592,7788
2259,191020003,3,22593,7789
2279,191020612,1,22791,7838
2279,191020612,4,22794,7840
2280,191020612,1,22801,7838
2280,191020612,4,22804,7840
2293,191020747,1,22931,7847
2293,191020747,2,22932,7848
2321,191021299,1,23211,7899
2321,191021299,3,23213,7901
2321,191021299,4,23214,7902
2322,191021299,2,23222,7900
2322,191021299,3,23223,7901
2322,191021299,4,23224,7902
2357,191022171,1,23571,7982
2357,191022171,2,23572,7983
2357,191022171,6,23576,7986
2398,191022879,1,23981,8033
2398,191022879,3,23983,8035
2412,191024054,1,24121,8110
2412,191024054,2,24122,8111
2492,191025482,2,24922,8234
2492,191025482,3,24923,8235
2491,191025482,2,24912,8234
2491,191025482,3,24913,8235
2594,191028611,3,25943,8476
2594,191028611,4,25944,8477
2658,191029740,1,26581,8586
2658,191029740,3,26583,8588
2664,191029827,1,26641,8590
2664,191029827,2,26642,8591
2758,191032252,2,27582,8801
2758,191032252,3,27583,8802
2798,191033337,1,27981,8877
2798,191033337,2,27982,8878
2826,191034124,2,28262,8939
2826,191034124,3,28263,8940
2825,191034124,2,28252,8939
2825,191034124,3,28253,8940
2879,191036219,3,28793,9074
2879,191036219,4,28794,9075
2879,191036219,5,28795,9076
2911,191037223,1,29111,9155
2911,191037223,3,29113,9156
2945,191037900,1,29451,9206
2945,191037900,2,29452,9207
2966,191038189,4,29664,9232
2966,191038189,5,29665,9233
3114,191043773,2,31142,9622
3114,191043773,3,31143,9623
3143,191044941,1,31431,9704
3143,191044941,3,31433,9706
3144,191044941,1,31441,9704
3144,191044941,3,31443,9706
3180,191046475,1,31801,9800
3180,191046475,2,31802,9801
3193,191047067,1,31931,9837
3193,191047067,2,31932,9838
3193,191047067,3,31933,9839
3221,191047667,3,32213,9909
3221,191047667,4,32214,9910
3225,191047698,1,32251,9914
3225,191047698,3,32253,9916
3225,191047698,4,32254,9917
3251,191048081,1,32511,9951
3251,191048081,2,32512,9952
3283,191048987,1,32831,10046
3283,191048987,4,32834,10049
3283,191048987,5,32835,10050
3287,191049022,2,32872,10053
3287,191049022,3,32873,10054
3347,191050791,1,33471,10213
3347,191050791,2,33472,10214
3362,191051415,2,33622,10253
3362,191051415,4,33624,10255
3370,191051520,1,33701,10264
3370,191051520,2,33702,10265
3379,191051715,2,33792,10289
3379,191051715,3,33793,10290
3474,192003096,3,34743,10625
3474,192003096,4,34744,10626
3524,192007369,1,35241,10914
3524,192007369,3,35243,10916
3525,192007369,1,35251,10914
3525,192007369,2,35252,10915
3525,192007369,3,35253,10916
3606,192016109,1,36061,11390
3606,192016109,2,36062,11391
3625,192017305,1,36251,11508
3625,192017305,2,36252,11509
