survey_tour_id,household_id,participant_num,survey_participant_id,person_id,tour_id,participant_id
70,17100303,1,710,43,1782,178201
70,17100303,2,720,44,1782,178202
180,17100652,1,1810,74,3055,305501
180,17100652,3,1830,76,3055,305502
1500,17104660,1,15010,564,23145,2314501
1500,17104660,2,15020,565,23145,2314502
1880,17105864,2,18820,704,28883,2888301
1880,17105864,3,18830,705,28883,2888302
1860,17105864,2,18620,704,28885,2888501
1860,17105864,3,18630,705,28885,2888502
2140,17107519,1,21410,895,36714,3671401
2140,17107519,2,21420,896,36714,3671402
2590,17109615,1,25910,1097,44994,4499401
2590,17109615,3,25930,1099,44994,4499402
2590,17109615,4,25940,1100,44994,4499403
2750,17110378,1,27510,1179,48352,4835201
2750,17110378,3,27530,1181,48352,4835202
2750,17110378,4,27540,1182,48352,4835203
2830,17110481,1,28310,1203,49344,4934401
2830,17110481,2,28320,1204,49344,4934402
3030,17111733,1,30310,1305,53524,5352401
3030,17111733,2,30320,1306,53524,5352402
3780,17114508,1,37810,1608,65947,6594701
3780,17114508,3,37830,1610,65947,6594702
4060,17115092,1,40610,1680,68901,6890101
4060,17115092,2,40620,1681,68901,6890102
4060,17115092,3,40630,1682,68901,6890103
4570,17116850,2,45720,1875,76894,7689401
4570,17116850,3,45730,1876,76894,7689402
4580,17116850,2,45820,1875,76896,7689601
4580,17116850,3,45830,1876,76896,7689602
5000,17119143,1,50010,2091,85750,8575001
5000,17119143,2,50020,2092,85750,8575002
5000,17119143,3,50030,2093,85750,8575003
5180,17119780,1,51810,2166,88827,8882701
5180,17119780,2,51820,2167,88827,8882702
5280,17120168,1,52810,2213,90754,9075401
5280,17120168,2,52820,2214,90754,9075402
5320,17120251,1,53210,2220,91041,9104101
5320,17120251,3,53230,2222,91041,9104102
5860,17123158,1,58610,2521,103380,10338001
5860,17123158,2,58620,2522,103380,10338002
5880,17123194,1,58810,2529,103706,10370601
5880,17123194,2,58820,2530,103706,10370602
6080,17124053,2,60820,2639,108216,10821602
6080,17124053,3,60830,2640,108216,10821603
6070,17124053,1,60710,2638,108179,10817901
6070,17124053,3,60730,2640,108179,10817903
6460,17125955,1,64610,2865,117478,11747801
6460,17125955,2,64620,2866,117478,11747802
6460,17125955,4,64640,2868,117478,11747803
6460,17125955,5,64650,2869,117478,11747804
6570,17126082,1,65710,2886,118347,11834701
6570,17126082,2,65720,2887,118347,11834702
6710,17126705,1,67110,2958,121295,12129501
6710,17126705,3,67130,2960,121295,12129502
7430,17129082,1,74310,3241,132900,13290001
7430,17129082,3,74330,3243,132900,13290002
