tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
322258,22990,7859,191020847,work,mandatory,16608.0,29311,8.0,8.0,SHARED3FREE,0,,,54,no_subtours,1out_2in
322299,23000,7860,191020847,work,mandatory,25176.0,29311,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,1out_1in
322332,23010,7861,191020847,school,mandatory,27520.0,29311,10.0,10.0,SHARED3FREE,0,,,85,,0out_0in
322463,23020,7864,191020970,work,mandatory,49462.0,54779,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
322955,23050,7876,191021136,work,mandatory,32543.0,20040,7.0,7.0,BIKE,0,,,37,no_subtours,0out_0in
322996,23070,7877,191021136,work,mandatory,11079.0,5425,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,1out_0in
323324,23080,7885,191021160,work,mandatory,21003.0,34339,9.0,9.0,WALK_LOC,0,,,70,no_subtours,0out_0in
323488,23120,7889,191021200,work,mandatory,4144.0,16468,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
323521,23130,7890,191021200,school,mandatory,59777.0,16468,9.0,9.0,DRIVEALONEFREE,0,,,70,,0out_2in
323898,23190,7899,191021299,work,mandatory,27260.0,28140,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_2in
323899,23200,7899,191021299,work,mandatory,15388.0,27260,6.0,6.0,DRIVEALONEFREE,23190,,,19,no_subtours,0out_1in
324062,23280,7903,191021337,work,mandatory,635.0,9782,6.0,6.0,SHARED2FREE,0,,,19,no_subtours,0out_0in
324103,23290,7904,191021357,work,mandatory,18585.0,10540,7.0,7.0,WALK_LR,0,,,37,no_subtours,0out_2in
324964,23320,7925,191021574,work,mandatory,20798.0,4369,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_1in
325005,23330,7926,191021595,work,mandatory,30977.0,23517,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_1in
325251,23340,7932,191021653,work,mandatory,9530.0,16188,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,1out_1in
325333,23400,7934,191021665,work,mandatory,1759.0,21386,5.0,5.0,SHARED3FREE,0,,,0,no_subtours,0out_1in
325366,23410,7935,191021665,school,mandatory,18770.0,21386,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
325407,23430,7936,191021665,school,mandatory,18770.0,21386,12.0,12.0,SHARED3FREE,0,,,112,,0out_0in
325702,23440,7943,191021799,work,mandatory,7401.0,25608,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_2in
325784,23460,7945,191021827,work,mandatory,17822.0,29355,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
325825,23470,7946,191021827,work,mandatory,16733.0,29355,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_1in
326194,23490,7955,191021959,work,mandatory,14137.0,15636,5.0,5.0,WALK_LOC,0,,,0,no_subtours,1out_1in
326276,23520,7957,191021969,work,mandatory,5998.0,20035,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
326809,23530,7970,191022058,work,mandatory,7622.0,27205,7.0,7.0,WALK,0,,,37,no_subtours,0out_0in
