person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
1,17100005,60,1,2,3,3,4,,-1.0,0,H,,0,0,0,0,0,0,0
2,17100005,70,2,1,3,3,5,,-1.0,0,H,,0,0,0,0,0,0,0
3,17100024,30,1,9,2,2,3,23535.0,7163.0,0,H,,0,0,0,0,0,0,0
4,17100024,30,2,2,1,3,1,,12667.0,0,H,,0,0,0,0,0,0,0
5,17100024,2,3,9,3,1,8,33583.0,-1.0,0,H,,0,0,0,0,0,0,0
6,17100052,70,1,2,3,3,5,,-1.0,0,H,,0,0,0,0,0,0,0
7,17100059,30,1,1,1,3,1,,14261.0,0,M,work1,0,0,0,0,0,0,0
8,17100060,70,1,1,3,3,5,,-1.0,0,H,,0,0,0,0,0,0,0
9,17100102,40,1,1,1,3,1,,10550.0,0,H,,0,0,0,0,0,0,0
10,17100108,30,1,2,1,3,1,,34769.0,0,H,,0,0,0,0,0,0,0
11,17100108,30,2,1,1,3,1,,21009.0,0,H,,0,0,0,0,0,0,0
12,17100111,60,1,2,2,3,2,,21163.0,0,H,,0,0,0,0,0,0,0
13,17100111,60,2,1,1,3,1,,7721.0,1,H,,0,0,0,0,0,0,0
14,17100111,17,3,1,3,1,6,19390.0,-1.0,0,H,,0,0,0,0,0,0,0
15,17100111,14,4,1,3,1,7,18320.0,-1.0,0,H,,0,0,0,0,0,0,0
16,17100137,40,1,2,2,3,2,,28621.0,0,H,,0,0,0,0,0,0,0
17,17100149,50,1,1,1,3,1,,62686.0,0,H,,0,0,0,0,0,0,0
18,17100149,50,2,2,1,3,1,,12319.0,0,H,,0,0,0,0,0,0,0
19,17100149,17,3,1,3,1,6,9414.0,-1.0,0,H,,0,0,0,0,0,0,0
20,17100149,14,4,1,3,1,7,30594.0,-1.0,0,H,,0,0,0,0,0,0,0
21,17100179,50,1,2,1,3,1,,19873.0,0,H,,0,0,0,0,0,0,0
22,17100179,60,2,1,1,3,1,,15410.0,0,H,,0,0,0,0,0,0,0
23,17100179,17,3,2,3,1,6,19390.0,-1.0,0,H,,0,0,0,0,0,0,0
24,17100203,40,1,2,3,3,4,,-1.0,0,H,,0,0,0,0,0,0,0
25,17100203,40,2,1,1,3,1,,18493.0,0,H,,0,0,0,0,0,0,0
26,17100203,2,3,1,3,1,8,2090.0,-1.0,0,H,,0,0,0,0,0,0,0
27,17100203,2,4,2,3,3,8,,-1.0,0,H,,0,0,0,0,0,0,0
28,17100208,30,1,2,2,3,2,,12577.0,0,H,,0,0,0,0,0,0,0
