person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
2991,3118,30,1,2,1,3,1,-1.0,27204.0,0,H,,0,0,0,0,0,0,0
4234,3117,50,1,1,1,3,1,-1.0,33452.0,0,N,,0,0,0,1,1,0,5
4235,3117,60,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,1,1,1,0,13
3972,3116,60,1,1,2,3,2,-1.0,28847.0,0,M,work1,0,0,0,0,0,0,0
2658,3115,60,1,1,1,3,1,-1.0,3634.0,0,H,,0,0,0,0,0,0,0
2659,3115,60,2,2,2,3,2,-1.0,24499.0,0,N,,0,0,1,1,0,0,9
2484,3114,40,1,2,1,3,1,-1.0,21642.0,0,H,,0,0,0,0,0,0,0
2485,3114,14,2,1,3,1,7,6680.0,-1.0,0,H,,0,0,0,0,0,0,0
155,3113,80,1,2,2,3,2,-1.0,13339.0,0,H,,0,0,0,0,0,0,0
4487,3112,30,1,2,1,3,1,-1.0,30989.0,0,H,,0,0,0,0,0,0,0
3768,3111,21,1,2,1,3,1,-1.0,60328.0,0,M,work1,0,0,0,1,0,0,1
1904,3110,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,0,2,2
1905,3110,85,2,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,0,2,2
4066,3109,21,1,1,1,3,1,-1.0,9683.0,0,H,,0,0,0,0,0,0,0
168,3108,60,1,2,1,3,1,-1.0,23526.0,0,H,,0,0,0,0,0,0,0
935,3107,40,1,1,1,3,1,-1.0,7211.0,0,H,,0,0,0,0,0,0,0
936,3107,40,2,2,1,3,1,-1.0,7211.0,0,H,,0,0,0,0,0,0,0
937,3107,8,3,1,3,1,7,21163.0,-1.0,0,H,,0,0,0,0,0,0,0
938,3107,2,4,1,3,1,8,21163.0,-1.0,0,H,,0,0,0,0,0,0,0
170,3106,30,1,2,2,2,1,30981.0,30989.0,0,H,,0,0,0,0,0,0,0
14,3105,30,1,2,2,3,2,-1.0,12577.0,0,N,,0,0,0,1,0,0,1
15,3105,50,2,1,2,3,2,-1.0,23209.0,0,M,work1,1,0,0,0,0,0,32
16,3105,14,3,2,3,1,7,5860.0,-1.0,0,H,,0,0,0,0,0,0,0
3075,3104,30,1,1,2,3,2,-1.0,7687.0,0,M,work1,0,0,0,0,0,0,0
1356,3103,40,1,1,1,3,1,-1.0,21183.0,0,N,,2,0,0,0,0,0,64
1357,3103,40,2,2,1,3,1,-1.0,1471.0,0,M,work1,0,0,0,1,0,0,1
1358,3103,8,3,1,3,1,7,11070.0,-1.0,0,H,,0,0,0,0,0,0,0
1359,3103,2,4,1,3,1,8,16741.0,-1.0,0,M,school1,0,0,0,0,0,0,0
681,3102,60,1,2,1,3,1,-1.0,2418.0,0,H,,0,0,0,0,0,0,0
4911,3101,80,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,1,10
265,3100,80,1,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
2152,3099,30,1,1,1,3,1,-1.0,12598.0,0,M,work1,0,0,0,0,0,0,0
243,3098,30,1,1,1,3,1,-1.0,16608.0,0,H,,0,0,0,0,0,0,0
244,3098,30,2,2,3,2,3,34792.0,-1.0,0,H,,0,0,0,0,0,0,0
3314,3097,40,1,2,1,3,1,-1.0,12656.0,1,N,,0,0,0,1,0,1,3
3315,3097,40,2,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
2850,3096,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
4337,3095,60,1,2,1,3,1,-1.0,20798.0,0,M,work1,0,0,0,0,0,0,0
2570,3094,40,1,1,1,3,1,-1.0,33878.0,0,M,work1,0,0,1,1,0,0,9
2571,3094,30,2,2,1,3,1,-1.0,6335.0,0,M,work1,0,0,0,0,0,0,0
2572,3094,30,3,2,1,3,1,-1.0,9297.0,0,H,,0,0,0,0,0,0,0
2783,3093,40,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,1,0,0,0,24
3223,3092,30,1,2,1,3,1,-1.0,3193.0,0,H,,0,0,0,0,0,0,0
3495,3090,21,1,1,1,3,1,-1.0,32546.0,0,N,,0,0,0,1,0,0,1
82,3089,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,1,1,1,0,0,25
2919,3088,30,1,1,1,3,1,-1.0,21615.0,0,H,,0,0,0,0,0,0,0
2150,3087,40,1,2,1,3,1,-1.0,27079.0,0,H,,0,0,0,0,0,0,0
1922,3085,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,1,0,1,0,0,17
893,3084,60,1,2,1,3,1,-1.0,3367.0,0,M,work1,0,0,1,0,0,0,8
4824,3083,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
1044,3082,30,1,2,1,3,1,-1.0,10172.0,0,M,work1,0,0,0,0,0,0,0
1045,3082,30,2,1,1,3,1,-1.0,3193.0,0,H,,0,0,0,0,0,0,0
2569,3081,30,1,1,1,3,1,-1.0,10543.0,0,H,,0,0,0,0,0,0,0
730,3080,40,1,2,1,3,1,-1.0,12926.0,0,H,,0,0,0,0,0,0,0
