survey_tour_id,survey_participant_id,person_id,household_id,participant_num,tour_id,participant_id
1470,14710,94,2233,1,3873.0,387301.0
1470,14720,95,2233,2,3873.0,387302.0
1470,14730,96,2233,3,3873.0,387303.0
1720,17210,111,1991,1,4570.0,457001.0
1720,17220,112,1991,2,4570.0,457002.0
7360,73620,516,267,1,21173.0,2117301.0
7360,73640,518,267,2,21173.0,2117302.0
9420,94210,677,3053,1,27770.0,2777001.0
9420,94230,679,3053,2,27770.0,2777002.0
11740,117420,844,1157,1,34623.0,3462301.0
11740,117430,845,1157,2,34623.0,3462302.0
12390,123920,885,2961,1,36300.0,3630001.0
12390,123930,886,2961,2,36300.0,3630002.0
12820,128210,920,2156,1,37739.0,3773901.0
12820,128220,921,2156,2,37739.0,3773902.0
14270,142710,1033,2100,1,42372.0,4237201.0
14270,142730,1035,2100,2,42372.0,4237202.0
14270,142740,1036,2100,3,42372.0,4237203.0
15040,150410,1091,274,1,44746.0,4474601.0
15040,150420,1092,274,2,44746.0,4474602.0
15620,156220,1120,2191,1,45935.0,4593501.0
15620,156240,1122,2191,2,45935.0,4593502.0
15990,159910,1147,277,1,47042.0,4704201.0
15990,159920,1148,277,2,47042.0,4704202.0
17000,170010,1218,1439,1,49951.0,4995101.0
17000,170030,1220,1439,2,49951.0,4995102.0
17290,172910,1240,169,1,50857.0,5085701.0
17290,172930,1242,169,2,50857.0,5085702.0
19120,191210,1383,229,1,56720.0,5672001.0
19120,191230,1385,229,2,56720.0,5672002.0
19210,192110,1389,674,1,56964.0,5696401.0
19210,192130,1391,674,2,56964.0,5696402.0
20050,200510,1445,333,1,59266.0,5926601.0
20050,200530,1447,333,2,59266.0,5926602.0
20890,208910,1510,89,1,61925.0,6192501.0
20890,208930,1511,89,2,61925.0,6192502.0
24430,244310,1760,2471,1,72179.0,7217901.0
24430,244330,1761,2471,2,72179.0,7217902.0
24440,244410,1760,2471,1,72181.0,7218101.0
24440,244430,1761,2471,2,72181.0,7218102.0
26270,262710,1893,2656,1,77632.0,7763201.0
26270,262730,1895,2656,2,77632.0,7763202.0
26280,262810,1893,2656,1,77633.0,7763301.0
26280,262830,1895,2656,2,77633.0,7763302.0
28960,289610,2068,1566,1,84805.0,8480501.0
28960,289620,2069,1566,2,84805.0,8480502.0
28970,289710,2068,1566,1,84809.0,8480901.0
28970,289720,2069,1566,2,84809.0,8480902.0
29210,292110,2086,764,1,85545.0,8554501.0
29210,292120,2087,764,2,85545.0,8554502.0
29210,292130,2088,764,3,85545.0,8554503.0
29210,292140,2089,764,4,85545.0,8554504.0
29210,292150,2090,764,5,85545.0,8554505.0
30510,305110,2178,830,1,89313.0,8931301.0
30510,305120,2179,830,2,89313.0,8931302.0
32370,323710,2306,2267,1,94565.0,9456501.0
32370,323730,2307,2267,2,94565.0,9456502.0
36110,361110,2577,1951,1,105672.0,10567201.0
36110,361130,2579,1951,2,105672.0,10567202.0
42510,425110,3007,2428,1,123302.0,12330201.0
42510,425120,3008,2428,2,123302.0,12330202.0
42750,427510,3026,1812,1,124081.0,12408101.0
42750,427530,3028,1812,2,124081.0,12408102.0
42860,428620,3034,35,1,124413.0,12441301.0
42860,428650,3037,35,2,124413.0,12441302.0
43000,430010,3046,74,1,124901.0,12490101.0
43000,430030,3048,74,2,124901.0,12490102.0
43010,430110,3046,74,1,124902.0,12490201.0
43010,430130,3048,74,2,124902.0,12490202.0
45030,450320,3180,1213,1,130401.0,13040101.0
45030,450330,3181,1213,2,130401.0,13040102.0
45420,454220,3206,2564,1,131461.0,13146101.0
45420,454230,3207,2564,2,131461.0,13146102.0
45420,454240,3208,2564,3,131461.0,13146103.0
49160,491620,3452,1726,1,141547.0,14154701.0
49160,491630,3453,1726,2,141547.0,14154702.0
49610,496120,3486,592,1,142947.0,14294701.0
49610,496140,3487,592,2,142947.0,14294702.0
51740,517410,3629,2552,1,148810.0,14881001.0
51740,517430,3631,2552,2,148810.0,14881002.0
51740,517440,3632,2552,3,148810.0,14881003.0
57710,577130,4049,869,1,166024.0,16602401.0
57710,577140,4050,869,2,166024.0,16602402.0
57680,576820,4048,869,3,166026.0,16602603.0
57680,576830,4049,869,1,166026.0,16602601.0
57680,576840,4050,869,2,166026.0,16602602.0
60580,605810,4242,1538,1,173937.0,17393701.0
60580,605820,4243,1538,2,173937.0,17393702.0
62480,624810,4366,492,1,179021.0,17902101.0
62480,624820,4367,492,2,179021.0,17902102.0
64120,641210,4496,1390,1,184351.0,18435101.0
64120,641220,4497,1390,2,184351.0,18435102.0
64760,647610,4542,2137,2,186319.0,18631902.0
64760,647630,4544,2137,1,186319.0,18631901.0
64790,647920,4543,2137,3,186320.0,18632003.0
64790,647930,4544,2137,1,186320.0,18632001.0
65220,652210,4572,3011,1,187471.0,18747101.0
65220,652230,4573,3011,2,187471.0,18747102.0
65760,657610,4613,2828,1,189152.0,18915201.0
65760,657620,4614,2828,2,189152.0,18915202.0
66230,662310,4642,428,1,190335.0,19033501.0
66230,662330,4644,428,2,190335.0,19033502.0
68180,681810,4782,1345,1,196077.0,19607701.0
68180,681820,4783,1345,2,196077.0,19607702.0
