tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
2,4842,3005,social,non_mandatory,15792,32658,11,11,DRIVEALONEFREE,0
1,4842,3005,shopping,joint,1057,32658,9,9,SHARED2FREE,0
7,4844,4818,school,mandatory,30748,25299,17,17,BIKE,0
4,4844,4818,work,mandatory,7163,25299,8,8,WALK,0
5,4844,4818,shopping,non_mandatory,5173,25299,12,12,DRIVEALONEFREE,0
6,4844,4818,shopping,non_mandatory,7735,25299,16,16,WALK,0
9,4845,4818,work,mandatory,12667,25299,12,12,WALK_LOC,0
8,4845,4818,escort,non_mandatory,30748,25299,8,8,SHARED2FREE,0
10,4846,4818,school,mandatory,30748,25299,8,8,SHARED2FREE,0
11,4847,3142,eatout,non_mandatory,31676,21464,13,13,WALK_LOC,0
16,4849,3647,othmaint,non_mandatory,48433,46601,8,8,DRIVEALONEFREE,0
17,4850,5074,escort,non_mandatory,32076,25620,7,7,DRIVEALONEFREE,0
18,2,1861,work,mandatory,34769,30000,9,9,Other,0
19,3,1861,work,mandatory,21009,30000,9,9,WALK,0
20,4851,5265,work,mandatory,21162,15699,7,7,DRIVEALONEFREE,0
22,4852,5265,work,mandatory,7721,15699,6,6,DRIVEALONEFREE,0
21,4851,5265,othmaint,joint,22160,15699,18,18,SHARED2FREE,0
24,4853,5265,school,mandatory,19390,15699,8,8,WALK,0
25,4853,5265,school,mandatory,19390,15699,12,12,WALK,0
26,4854,5265,school,mandatory,18320,15699,7,7,BIKE,0
29,12385,8238,work,mandatory,62686,12021,5,5,SHARED3FREE,0
30,12386,8238,work,mandatory,12319,12021,9,9,DRIVEALONEFREE,0
32,12388,8238,school,mandatory,30594,12021,7,7,SHARED2FREE,0
35,8,1529,work,mandatory,18493,3305,8,8,DRIVEALONEFREE,0
36,9,1529,school,mandatory,8883,3305,9,9,SHARED3FREE,0
41,4855,6027,othdiscr,non_mandatory,7982,21967,17,17,DRIVEALONEFREE,0
43,4856,6027,work,mandatory,595,21967,9,9,DRIVEALONEFREE,0
42,4856,6027,escort,non_mandatory,5860,21967,8,8,WALK,0
44,12389,8183,othmaint,non_mandatory,3195,28344,7,7,WALK,0
52,4858,4799,othmaint,non_mandatory,34862,22882,19,19,DRIVEALONEFREE,0
48,4858,4799,social,non_mandatory,18447,22882,6,6,DRIVEALONEFREE,0
49,4858,4799,social,non_mandatory,34862,22882,9,9,DRIVEALONEFREE,0
50,4858,4799,social,non_mandatory,19821,22882,11,11,DRIVEALONEFREE,0
53,4859,4799,shopping,non_mandatory,43005,22882,8,8,SHARED2FREE,0
54,4859,4799,social,non_mandatory,19821,22882,15,15,DRIVEALONEFREE,0
66,4864,3925,shopping,non_mandatory,21467,3865,14,14,WALK_LOC,0
67,4864,3925,shopping,non_mandatory,15141,3865,19,19,WALK,0
68,12391,6618,work,mandatory,44855,46601,7,7,DRIVEALONEFREE,0
71,14,2561,othdiscr,non_mandatory,23773,1469,18,18,SHARED2FREE,0
82,4867,4266,othdiscr,non_mandatory,5849,29070,14,14,WALK,0
81,4867,4266,shopping,non_mandatory,844,29070,11,11,DRIVEALONEFREE,0
83,16,258,work,mandatory,21615,21436,7,7,WALK_LOC,0
84,16,258,othdiscr,joint,19853,21436,19,19,SHARED2FREE,0
88,17,258,shopping,non_mandatory,27205,21436,10,10,DRIVEALONEFREE,0
93,4870,5585,work,mandatory,3367,18086,8,8,WALK_LOC,0
94,18,2720,work,mandatory,11617,746,9,9,WALK_LOC,0
100,12397,7062,work,mandatory,20797,7147,6,6,SHARED2FREE,0
101,12398,7062,work,mandatory,21307,7147,7,7,DRIVEALONEFREE,0
102,12399,7062,work,mandatory,33271,7147,6,6,SHARED2FREE,0
105,4872,3037,work,mandatory,30989,5849,9,9,WALK_LOC,0
107,4873,3037,work,mandatory,13684,5849,20,20,SHARED2FREE,0
106,4873,3037,othmaint,non_mandatory,28788,5849,5,5,DRIVEALONEFREE,0
108,20,1227,eatout,non_mandatory,9935,3759,10,10,SHARED2FREE,0
109,20,1227,othdiscr,non_mandatory,31016,3759,16,16,SHARED2FREE,0
