trip_id,person_id,household_id,tour_id,outbound,purpose,destination,origin,depart,trip_mode
9.0,1,83,1.0,True,othmaint,3508,32658,9.0,SHARED2FREE
10.0,1,83,1.0,True,shopping,1057,3508,10.0,SHARED2FREE
13.0,1,83,1.0,False,Home,32658,1057,10.0,SHARED2FREE
17.0,1,83,2.0,True,social,15792,32658,11.0,DRIVEALONEFREE
21.0,1,83,2.0,False,Home,32658,15792,15.0,DRIVEALONEFREE
25.0,2,83,3.0,True,othmaint,3508,32658,9.0,SHARED2FREE
26.0,2,83,3.0,True,shopping,1057,3508,10.0,SHARED2FREE
29.0,2,83,3.0,False,Home,32658,1057,10.0,SHARED2FREE
33.0,3,1896,4.0,True,work,7163,25299,8.0,WALK
37.0,3,1896,4.0,False,Home,25299,7163,11.0,WALK
41.0,3,1896,5.0,True,shopping,5173,25299,12.0,DRIVEALONEFREE
45.0,3,1896,5.0,False,Home,25299,5173,13.0,DRIVEALONEFREE
49.0,3,1896,6.0,True,shopping,7735,25299,16.0,WALK
53.0,3,1896,6.0,False,Home,25299,7735,16.0,WALK
57.0,3,1896,7.0,True,univ,23535,25299,17.0,BIKE
61.0,3,1896,7.0,False,Home,25299,23535,17.0,BIKE
65.0,4,1896,8.0,True,escort,30748,25299,8.0,SHARED2FREE
69.0,4,1896,8.0,False,Home,25299,30748,8.0,DRIVEALONEFREE
73.0,4,1896,9.0,True,work,12667,25299,12.0,WALK
77.0,4,1896,9.0,False,Home,25299,12667,20.0,WALK_LOC
81.0,5,1896,10.0,True,school,33583,25299,8.0,SHARED2FREE
85.0,5,1896,10.0,False,Home,25299,33583,17.0,BIKE
89.0,6,220,11.0,True,othmaint,3632,21464,13.0,WALK_LOC
90.0,6,220,11.0,True,othmaint,12598,3632,13.0,WALK
91.0,6,220,11.0,True,othmaint,21187,12598,15.0,WALK
92.0,6,220,11.0,True,eatout,31676,21187,15.0,WALK_LOC
93.0,6,220,11.0,False,Home,21464,31676,18.0,WALK_LOC
105.0,8,725,13.0,True,othmaint,48433,46601,8.0,DRIVEALONEFREE
109.0,8,725,13.0,False,othmaint,45550,48433,9.0,DRIVEALONEFREE
110.0,8,725,13.0,False,othmaint,45443,45550,10.0,DRIVEALONEFREE
111.0,8,725,13.0,False,shopping,46237,45443,10.0,DRIVEALONEFREE
112.0,8,725,13.0,False,Home,46601,46237,10.0,DRIVEALONEFREE
113.0,9,2152,14.0,True,escort,32076,25620,7.0,DRIVEALONEFREE
117.0,9,2152,14.0,False,shopping,19501,32076,16.0,DRIVEALONEFREE
118.0,9,2152,14.0,False,Home,25620,19501,17.0,DRIVEALONEFREE
121.0,10,2343,15.0,True,work,21163,15699,7.0,DRIVEALONEFREE
125.0,10,2343,15.0,False,work,19390,21163,10.0,DRIVEALONEFREE
126.0,10,2343,15.0,False,work,21162,19390,12.0,DRIVEALONEFREE
127.0,10,2343,15.0,False,Home,15699,21162,15.0,DRIVEALONEFREE
129.0,10,2343,16.0,True,othmaint,22160,15699,18.0,SHARED2FREE
133.0,10,2343,16.0,False,Home,15699,22160,20.0,SHARED2FREE
137.0,11,2343,17.0,True,work,7721,15699,6.0,DRIVEALONEFREE
141.0,11,2343,17.0,False,othdiscr,19392,7721,11.0,DRIVEALONEFREE
142.0,11,2343,17.0,False,Home,15699,19392,13.0,DRIVEALONEFREE
145.0,11,2343,18.0,True,othmaint,22160,15699,18.0,SHARED2FREE
149.0,11,2343,18.0,False,Home,15699,22160,20.0,SHARED2FREE
153.0,12,2343,19.0,True,school,19390,15699,8.0,WALK
157.0,12,2343,19.0,False,Home,15699,19390,11.0,WALK
161.0,12,2343,20.0,True,school,19390,15699,12.0,WALK
165.0,12,2343,20.0,False,Home,15699,19390,16.0,WALK
169.0,13,2343,21.0,True,school,18320,15699,7.0,BIKE
173.0,13,2343,21.0,False,othmaint,30958,18320,17.0,WALK
174.0,13,2343,21.0,False,Home,15699,30958,20.0,WALK
193.0,14,3105,24.0,True,work,18228,21967,17.0,DRIVEALONEFREE
194.0,14,3105,24.0,True,othdiscr,7982,18228,20.0,DRIVEALONEFREE
197.0,14,3105,24.0,False,Home,21967,7982,22.0,DRIVEALONEFREE
201.0,15,3105,25.0,True,escort,5860,21967,8.0,WALK
205.0,15,3105,25.0,False,Home,21967,5860,8.0,WALK
209.0,15,3105,26.0,True,shopping,17576,21967,9.0,DRIVEALONEFREE
210.0,15,3105,26.0,True,work,23209,17576,9.0,DRIVEALONEFREE
213.0,15,3105,26.0,False,Home,21967,23209,19.0,DRIVEALONEFREE
217.0,17,1877,27.0,True,shopping,16118,22882,6.0,DRIVEALONEFREE
218.0,17,1877,27.0,True,social,18447,16118,7.0,DRIVEALONEFREE
221.0,17,1877,27.0,False,Home,22882,18447,8.0,DRIVEALONEFREE
225.0,17,1877,28.0,True,social,34862,22882,9.0,DRIVEALONEFREE
229.0,17,1877,28.0,False,othmaint,21034,34862,10.0,DRIVEALONEFREE
230.0,17,1877,28.0,False,othmaint,34862,21034,10.0,DRIVEALONEFREE
231.0,17,1877,28.0,False,Home,22882,34862,10.0,DRIVEALONEFREE
233.0,17,1877,29.0,True,social,19821,22882,11.0,DRIVEALONEFREE
237.0,17,1877,29.0,False,othmaint,21366,19821,11.0,DRIVEALONEFREE
238.0,17,1877,29.0,False,shopping,28766,21366,12.0,DRIVEALONEFREE
239.0,17,1877,29.0,False,Home,22882,28766,12.0,DRIVEALONEFREE
249.0,17,1877,31.0,True,social,24112,22882,19.0,DRIVEALONEFREE
250.0,17,1877,31.0,True,othmaint,34862,24112,19.0,DRIVEALONEFREE
253.0,17,1877,31.0,False,Home,22882,34862,19.0,DRIVEALONEFREE
257.0,18,1877,32.0,True,social,34862,22882,8.0,SHARED2FREE
258.0,18,1877,32.0,True,shopping,43005,34862,9.0,SHARED2FREE
261.0,18,1877,32.0,False,Home,22882,43005,10.0,DRIVEALONEFREE
265.0,18,1877,33.0,True,social,19821,22882,15.0,DRIVEALONEFREE
269.0,18,1877,33.0,False,Home,22882,19821,18.0,DRIVEALONEFREE
297.0,21,2530,37.0,True,eatout,15985,13169,19.0,WALK
301.0,21,2530,37.0,False,Home,13169,15985,19.0,WALK
337.0,23,1003,42.0,True,shopping,21467,3865,14.0,WALK_LOC
341.0,23,1003,42.0,False,Home,3865,21467,15.0,WALK_LOC
345.0,23,1003,43.0,True,shopping,15141,3865,19.0,WALK
349.0,23,1003,43.0,False,Home,3865,15141,19.0,WALK
369.0,24,2741,46.0,True,escort,24554,1469,18.0,DRIVEALONEFREE
370.0,24,2741,46.0,True,othmaint,17001,24554,18.0,SHARED2FREE
371.0,24,2741,46.0,True,shopping,27232,17001,19.0,SHARED2FREE
373.0,24,2741,46.0,False,social,5064,27232,20.0,SHARED2FREE
374.0,24,2741,46.0,False,othmaint,28782,5064,20.0,SHARED2FREE
375.0,24,2741,46.0,False,eatout,10524,28782,20.0,SHARED2FREE
376.0,24,2741,46.0,False,Home,1469,10524,21.0,SHARED2FREE
401.0,27,296,50.0,True,work,21615,21436,7.0,WALK_LOC
405.0,27,296,50.0,False,social,30434,21615,17.0,WALK_LOC
406.0,27,296,50.0,False,Home,21436,30434,21.0,SHARED2FREE
409.0,28,296,51.0,True,work,3387,21436,9.0,DRIVEALONEFREE
413.0,28,296,51.0,False,eatout,30434,3387,17.0,DRIVEALONEFREE
414.0,28,296,51.0,False,Home,21436,30434,21.0,SHARED2FREE
417.0,29,2663,52.0,True,work,3367,18086,8.0,WALK_LOC
421.0,29,2663,52.0,False,shopping,19112,3367,18.0,WALK_LOC
422.0,29,2663,52.0,False,Home,18086,19112,18.0,WALK
441.0,30,2891,55.0,True,shopping,21467,746,19.0,WALK
445.0,30,2891,55.0,False,Home,746,21467,20.0,WALK
449.0,31,115,56.0,True,work,30989,5849,9.0,WALK_LOC
453.0,31,115,56.0,False,work,13684,30989,18.0,SHARED3FREE
454.0,31,115,56.0,False,Home,5849,13684,21.0,SHARED2FREE
457.0,32,115,57.0,True,othmaint,28788,5849,5.0,DRIVEALONEFREE
461.0,32,115,57.0,False,shopping,26692,28788,11.0,DRIVEALONEFREE
462.0,32,115,57.0,False,Home,5849,26692,12.0,DRIVEALONEFREE
465.0,32,115,58.0,True,work,13684,5849,20.0,DRIVEALONEFREE
469.0,32,115,58.0,False,Home,5849,13684,21.0,SHARED2FREE
473.0,33,1191,59.0,True,othmaint,3378,17453,10.0,WALK
477.0,33,1191,59.0,False,othdiscr,33845,3378,11.0,WALK
478.0,33,1191,59.0,False,Home,17453,33845,11.0,WALK
497.0,35,495,62.0,True,work,35592,15451,6.0,WALK_LOC
501.0,35,495,62.0,False,Home,15451,35592,19.0,WALK_LOC
505.0,37,2952,63.0,True,othdiscr,23464,9504,5.0,DRIVEALONEFREE
509.0,37,2952,63.0,False,Home,9504,23464,7.0,DRIVEALONEFREE
513.0,37,2952,64.0,True,work,27204,9504,8.0,WALK_LOC
517.0,37,2952,64.0,False,Home,9504,27204,17.0,WALK
521.0,37,2952,65.0,True,social,8779,9504,18.0,WALK
525.0,37,2952,65.0,False,Home,9504,8779,20.0,WALK
529.0,37,2952,66.0,True,social,2915,9504,20.0,SHARED2FREE
533.0,37,2952,66.0,False,Home,9504,2915,22.0,DRIVEALONEFREE
537.0,38,367,67.0,True,escort,4744,5804,8.0,SHARED2FREE
538.0,38,367,67.0,True,work,23859,4744,9.0,DRIVEALONEFREE
541.0,38,367,67.0,False,escort,4744,23859,12.0,SHARED2FREE
542.0,38,367,67.0,False,Home,5804,4744,13.0,SHARED2FREE
545.0,38,367,68.0,True,work,23859,5804,13.0,DRIVEALONEFREE
549.0,38,367,68.0,False,Home,5804,23859,17.0,DRIVEALONEFREE
561.0,39,367,70.0,True,othmaint,1759,5804,18.0,SHARED3FREE
565.0,39,367,70.0,False,escort,25770,1759,20.0,SHARED3FREE
566.0,39,367,70.0,False,Home,5804,25770,20.0,SHARED3FREE
569.0,40,367,71.0,True,school,2090,5804,8.0,SHARED2FREE
573.0,40,367,71.0,False,Home,5804,2090,13.0,SHARED2FREE
585.0,41,3016,73.0,True,work,59901,63106,8.0,DRIVEALONEFREE
589.0,41,3016,73.0,False,Home,63106,59901,16.0,DRIVEALONEFREE
593.0,41,3016,74.0,True,othmaint,59061,63106,16.0,DRIVEALONEFREE
594.0,41,3016,74.0,True,social,7964,59061,17.0,DRIVEALONEFREE
595.0,41,3016,74.0,True,eatout,23271,7964,17.0,SHARED2FREE
597.0,41,3016,74.0,False,othdiscr,16438,23271,18.0,SHARED2FREE
598.0,41,3016,74.0,False,social,7964,16438,20.0,SHARED2FREE
599.0,41,3016,74.0,False,Home,63106,7964,20.0,DRIVEALONEFREE
601.0,42,493,75.0,True,work,3190,29881,7.0,WALK_LOC
605.0,42,493,75.0,False,eatout,28618,3190,18.0,WALK
606.0,42,493,75.0,False,Home,29881,28618,21.0,WALK_LOC
609.0,43,493,76.0,True,work,19501,29881,7.0,WALK_LOC
613.0,43,493,76.0,False,Home,29881,19501,17.0,WALK_LOC
617.0,44,2781,77.0,True,othmaint,33550,13404,13.0,WALK_LOC
618.0,44,2781,77.0,True,othdiscr,27431,33550,14.0,WALK_LOC
621.0,44,2781,77.0,False,Home,13404,27431,15.0,WALK
633.0,47,2018,79.0,True,work,6836,16073,9.0,WALK
637.0,47,2018,79.0,False,Home,16073,6836,17.0,WALK
641.0,48,2018,80.0,True,school,30594,16073,7.0,WALK
645.0,48,2018,80.0,False,Home,16073,30594,16.0,WALK
649.0,49,2845,81.0,True,othmaint,20584,29135,14.0,DRIVEALONEFREE
653.0,49,2845,81.0,False,Home,29135,20584,15.0,DRIVEALONEFREE
657.0,49,2845,82.0,True,shopping,9782,29135,16.0,WALK
661.0,49,2845,82.0,False,Home,29135,9782,16.0,WALK
689.0,53,2086,86.0,True,othdiscr,27199,24298,8.0,WALK
693.0,53,2086,86.0,False,Home,24298,27199,8.0,WALK
697.0,53,2086,87.0,True,othdiscr,27199,24298,11.0,WALK
701.0,53,2086,87.0,False,Home,24298,27199,11.0,WALK
705.0,53,2086,88.0,True,shopping,13669,24298,14.0,WALK
709.0,53,2086,88.0,False,Home,24298,13669,15.0,WALK
713.0,53,2086,89.0,True,othdiscr,27199,24298,20.0,WALK
717.0,53,2086,89.0,False,Home,24298,27199,21.0,WALK
721.0,54,2086,90.0,True,work,4159,24298,6.0,BIKE
725.0,54,2086,90.0,False,othmaint,11596,4159,16.0,BIKE
726.0,54,2086,90.0,False,Home,24298,11596,19.0,BIKE
729.0,55,388,91.0,True,work,32067,3189,8.0,WALK_LOC
733.0,55,388,91.0,False,Home,3189,32067,16.0,WALK_LOC
737.0,57,508,92.0,True,shopping,14587,20407,12.0,SHARED2FREE
741.0,57,508,92.0,False,Home,20407,14587,14.0,SHARED2FREE
745.0,57,508,93.0,True,escort,19631,20407,15.0,SHARED2FREE
749.0,57,508,93.0,False,Home,20407,19631,16.0,SHARED3FREE
