tour_id,household_id,participant_num,participant_id,person_id
7,17100303,1,71,43
7,17100303,2,72,44
20,17100652,1,201,74
20,17100652,3,203,76
151,17104660,1,1511,564
151,17104660,2,1512,565
189,17105864,2,1892,704
189,17105864,3,1893,705
187,17105864,2,1872,704
187,17105864,3,1873,705
215,17107519,1,2151,895
215,17107519,2,2152,896
276,17110378,1,2761,1179
276,17110378,3,2763,1181
276,17110378,4,2764,1182
284,17110481,1,2841,1203
284,17110481,2,2842,1204
304,17111733,1,3041,1305
304,17111733,2,3042,1306
380,17114508,1,3801,1608
380,17114508,3,3803,1610
407,17115092,1,4071,1680
407,17115092,2,4072,1681
407,17115092,3,4073,1682
458,17116850,2,4582,1875
458,17116850,3,4583,1876
459,17116850,2,4592,1875
459,17116850,3,4593,1876
501,17119143,1,5011,2091
501,17119143,2,5012,2092
501,17119143,3,5013,2093
520,17119780,1,5201,2166
520,17119780,2,5202,2167
530,17120168,1,5301,2213
530,17120168,2,5302,2214
534,17120251,1,5341,2220
534,17120251,3,5343,2222
589,17123158,1,5891,2521
589,17123158,2,5892,2522
591,17123194,1,5911,2529
591,17123194,2,5912,2530
611,17124053,2,6112,2639
611,17124053,3,6113,2640
610,17124053,1,6101,2638
610,17124053,3,6103,2640
649,17125955,1,6491,2865
649,17125955,2,6492,2866
649,17125955,4,6494,2868
649,17125955,5,6495,2869
660,17126082,1,6601,2886
660,17126082,2,6602,2887
675,17126705,1,6751,2958
675,17126705,3,6753,2960
747,17129082,1,7471,3241
747,17129082,3,7473,3243
762,17129494,1,7621,3301
762,17129494,2,7622,3302
809,17130258,3,8093,3401
809,17130258,4,8094,3402
840,17130743,2,8402,3472
840,17130743,3,8403,3473
895,17132859,1,8951,3698
895,17132859,3,8953,3700
909,17133389,1,9091,3773
909,17133389,3,9093,3775
949,17135145,2,9492,3974
949,17135145,3,9493,3975
949,17135145,4,9494,3976
1042,17138624,2,10422,4402
1042,17138624,4,10424,4404
1051,17138644,1,10511,4409
1051,17138644,3,10513,4411
1051,17138644,4,10514,4412
1074,17139080,1,10741,4452
1074,17139080,3,10743,4454
1089,17139904,1,10891,4554
1089,17139904,2,10892,4555
1090,17139904,1,10901,4554
1090,17139904,2,10902,4555
1111,17141957,1,11111,4807
1111,17141957,3,11113,4809
1112,17141957,2,11122,4808
1112,17141957,3,11123,4809
1147,17143031,1,11471,4934
1147,17143031,2,11472,4935
1172,17143513,2,11722,4990
1172,17143513,4,11724,4992
1177,17143662,1,11771,5012
1177,17143662,3,11773,5014
1187,17144473,1,11871,5139
1187,17144473,3,11873,5141
1192,17144837,1,11921,5179
1192,17144837,3,11923,5181
1192,17144837,4,11924,5182
1224,17146110,1,12241,5281
1224,17146110,4,12244,5284
1225,17146110,1,12251,5281
1225,17146110,3,12253,5283
1225,17146110,4,12254,5284
1256,17146990,1,12561,5374
1256,17146990,3,12563,5376
1271,17147739,1,12711,5455
1271,17147739,2,12712,5456
1336,17150862,1,13361,5786
1336,17150862,2,13362,5787
1374,17152111,1,13741,5935
1374,17152111,2,13742,5936
1395,17153090,1,13951,6038
1395,17153090,2,13952,6039
