household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
17114712,31547,17500,1,1,1,0
17128054,23432,225000,4,1,1,2
17128802,40317,-1,2,1,2,0
17148964,17451,-1,2,1,2,0
191004591,17451,125000,2,1,2,0
191015250,63870,250000,1,1,4,0
191023275,29378,87500,2,1,1,0
191039563,42246,250000,1,1,1,1
191041885,20390,87500,1,1,1,1
191047265,37606,-1,1,1,2,0
192002218,41293,30000,2,1,1,1
191020204,29378,175000,2,1,3,2
191038967,33074,175000,2,1,1,2
191030719,30189,-1,2,1,1,0
191047715,19682,62500,2,1,1,1
17110230,31547,62500,2,1,1,2
191002536,15700,-1,1,1,1,1
192005405,28767,30000,1,1,1,1
191005797,23432,-1,2,1,1,2
17109798,23432,17500,2,1,1,2
191002389,17451,87500,1,1,1,1
191029227,23509,42500,1,1,1,1
17127058,28830,62500,1,1,1,1
191046888,28830,30000,1,1,0,1
191004698,3871,30000,1,1,1,1
17106999,23509,-1,1,1,1,1
191030447,59536,-1,1,1,1,0
17148956,14828,42500,2,1,2,1
191015446,21307,125000,2,1,1,2
17145730,8493,125000,2,1,1,2
191012132,8493,225000,2,1,1,2
17128691,61313,42500,1,1,2,1
192000050,30481,30000,1,1,0,1
191034819,744,225000,2,1,1,2
17152651,50,-1,4,1,2,3
191034327,11107,175000,4,1,2,2
191042557,33091,87500,1,1,0,1
191025567,33091,225000,2,1,0,2
191044815,33091,-1,2,1,0,2
191046417,4866,30000,1,1,1,1
17132908,12397,17500,4,1,3,1
191033255,577,42500,2,1,1,2
17150429,20407,-1,2,1,1,2
191039233,15980,125000,1,1,1,0
191004011,30927,250000,4,1,1,2
192009977,22648,225000,4,1,2,2
191001067,7392,87500,1,1,1,1
17113107,5087,-1,2,1,1,2
191041134,22426,175000,2,1,2,2
17151815,27201,-1,1,1,0,0
191024054,27201,62500,3,1,0,1
191013631,15943,42500,2,1,1,2
191040062,15943,62500,2,1,2,1
17137275,15943,125000,1,1,2,1
17129980,15943,125000,2,1,1,2
17124713,15943,125000,2,1,1,2
17131059,27154,-1,1,1,1,1
17140240,20518,125000,3,1,2,1
191018660,5139,225000,2,1,1,2
17126282,21457,30000,1,1,0,1
191000680,21457,42500,2,1,0,2
191007908,33401,125000,1,1,1,1
192014084,62840,-1,2,1,4,2
17138613,21792,87500,3,1,2,3
191022951,19444,-1,2,1,2,1
191006752,15992,-1,1,1,0,0
191042622,34077,87500,2,1,1,2
17125699,35745,125000,3,1,1,1
191005716,21931,5000,1,1,0,0
191030998,33301,42500,1,1,1,1
191019980,15440,87500,1,1,1,1
191011593,15859,-1,6,1,3,2
191020847,29311,250000,3,1,1,2
191011025,15985,125000,2,1,0,1
191022830,18337,125000,1,1,1,1
17145496,953,42500,1,1,1,1
191046388,9301,62500,1,1,1,1
192014648,57631,62500,1,1,1,1
191030399,16690,62500,1,1,1,1
17105689,17546,125000,2,1,1,2
191040045,27486,175000,2,1,0,2
191018296,27486,175000,2,1,1,2
191006161,27486,87500,2,1,1,2
17105766,30329,-1,1,1,2,1
17152753,29103,-1,3,1,4,1
191003681,31525,62500,3,1,1,3
17119339,15153,62500,1,1,1,1
17141821,35272,125000,3,1,1,1
17114120,4863,87500,1,1,1,1
191039558,29144,62500,3,1,0,1
17151532,4354,125000,3,1,0,3
192006922,7106,62500,1,1,1,1
17149247,33604,62500,2,1,1,1
17134818,10460,87500,4,1,2,1
192006070,33662,125000,3,1,3,2
191044900,31393,125000,2,1,3,0
191029740,15437,225000,3,1,1,2
17153159,15456,-1,3,1,1,3
17141660,7813,-1,4,1,4,2
192009785,25634,-1,1,1,0,1
17109109,25634,62500,1,1,1,1
17126682,25634,17500,1,1,0,0
17128297,5291,30000,1,1,1,0
17116998,9414,62500,1,1,1,0
17142734,6587,87500,2,1,2,2
192002522,57894,250000,4,1,2,2
17151831,28983,42500,1,1,1,1
192004134,24453,125000,1,1,1,1
17139811,21158,87500,2,1,2,0
191015234,33218,87500,2,1,2,1
191005781,15975,87500,2,1,0,2
191007398,22080,125000,4,1,2,1
17112839,3285,125000,2,1,2,2
17146377,31233,30000,1,1,1,1
17124239,15142,125000,1,1,0,1
17145321,33078,87500,3,1,1,3
191020747,11596,175000,2,1,1,1
17151058,15619,17500,3,1,1,1
17152800,14621,62500,2,1,2,0
191008847,20407,62500,2,1,4,1
191051596,8763,87500,2,1,2,2
17132688,3864,17500,1,1,0,1
191005841,29680,87500,1,1,1,1
17101223,9778,250000,5,1,4,2
17149541,32794,250000,3,1,1,1
191024064,25272,17500,2,1,2,1
191007924,20612,30000,1,1,0,1
17146125,5849,87500,1,1,1,1
191037663,5849,125000,1,1,1,1
191042131,5849,125000,1,1,1,1
191028907,3892,125000,2,1,1,2
191001116,3892,17500,1,1,1,1
191049659,3892,30000,1,1,0,1
17141635,13923,62500,2,1,1,1
17132458,9751,225000,2,1,2,1
191026912,13177,62500,1,1,1,1
17108833,25925,42500,2,1,0,2
191050495,25925,30000,2,1,0,2
191026667,25925,225000,2,1,2,1
191048384,25925,30000,2,1,0,2
191011751,56053,125000,4,1,2,1
17115567,63554,-1,5,1,8,4
17119242,33264,42500,4,1,2,2
191051756,24496,17500,1,1,0,0
17114671,24496,17500,1,1,0,0
17124172,29541,-1,3,1,2,2
17117535,29541,87500,3,1,1,1
17108994,29541,125000,1,1,1,1
17133470,29541,125000,2,1,1,2
192006564,10924,125000,2,1,2,2
17124142,10924,125000,2,1,1,1
191039140,8805,30000,1,1,1,1
191022844,28362,250000,3,1,1,2
191036183,7704,-1,1,1,1,1
17100005,32658,87500,2,1,2,1
17121361,30570,-1,2,1,2,0
17117269,11618,30000,1,1,0,0
17128059,11618,5000,1,1,1,0
17113757,11618,-1,1,1,0,1
191044078,11618,17500,1,1,0,1
17140911,11618,62500,2,1,0,2
17120499,12377,30000,1,1,1,0
17137851,35815,-1,2,1,2,2
17128020,12573,17500,1,1,1,1
17102694,24239,125000,3,1,2,2
17104500,14631,125000,2,1,2,2
191026749,30456,17500,1,1,1,1
17140976,13542,125000,3,1,1,1
192012861,8786,-1,2,1,2,1
191049988,57442,-1,1,1,1,0
17132843,15908,125000,4,1,2,2
17106248,11616,5000,2,1,0,0
191048767,13112,87500,1,1,1,1
17147797,4863,42500,1,1,1,1
191022445,4136,-1,2,1,0,2
17114267,18705,62500,2,1,1,1
191014175,19336,125000,4,1,2,3
191022220,6153,62500,1,1,0,1
191048538,6153,225000,5,1,2,5
17135276,3894,62500,1,1,0,1
17152005,3894,62500,1,1,0,1
191013069,6153,125000,2,1,2,2
191019621,6153,125000,2,1,0,1
17144573,3894,125000,2,1,1,2
191007689,6153,125000,1,1,0,1
17149650,6153,42500,2,1,0,1
17150710,3894,62500,1,1,0,1
17127689,6153,5000,2,1,1,2
17129947,6153,125000,2,1,0,2
191009716,3894,62500,1,1,1,0
191024809,6153,-1,2,1,1,2
191011775,3894,125000,1,1,0,1
191010571,6153,87500,2,1,0,2
17111939,62294,125000,2,1,3,2
17137326,473,42500,2,1,3,2
17137584,19136,125000,3,1,1,2
191024546,6507,125000,2,1,2,0
191025012,19157,62500,1,1,0,1
191037900,19157,125000,2,1,1,2
17137332,19157,62500,1,1,1,1
191009017,19157,175000,2,1,2,2
17113799,19157,87500,1,1,1,1
17129406,19157,-1,1,1,1,1
191009978,19157,125000,2,1,1,1
17114572,19157,62500,2,1,2,2
17101379,31361,175000,4,1,2,2
191044209,20615,62500,1,1,0,1
17106864,12855,62500,4,1,4,2
191015105,21457,87500,1,1,1,0
191017364,20044,175000,2,1,1,2
191032089,28850,175000,1,1,1,1
17131958,28850,225000,3,1,1,3
191042236,6906,250000,4,1,1,1
191037278,2907,175000,2,1,2,2
17144301,55893,17500,2,1,1,0
17152166,7699,62500,2,1,2,2
191000587,55431,17500,4,1,0,0
191012230,16511,125000,2,1,3,1
17141431,12566,125000,2,1,2,2
17103614,18807,17500,1,1,1,0
192016514,28830,125000,4,1,2,2
17130190,13191,87500,4,1,2,2
17124597,20942,250000,1,1,1,0
191026353,10961,30000,1,1,1,1
17100441,5849,125000,2,1,1,1
191046048,16176,175000,5,1,2,2
17112073,11193,250000,3,1,2,2
191005872,21935,-1,1,1,1,0
191005786,29643,125000,3,1,2,2
17153716,13170,42500,1,1,0,1
191043129,13170,125000,1,1,1,1
17111909,2594,87500,4,1,2,1
191007350,30471,42500,1,1,1,0
17121287,33320,175000,2,1,3,2
191016491,23695,17500,4,1,0,0
191024397,15683,62500,1,1,1,1
17143194,15683,42500,2,1,1,2
17123176,25409,62500,3,1,1,1
17149285,27237,62500,3,1,2,1
17110666,3386,-1,1,1,0,1
17150601,9407,42500,1,1,1,1
17112109,9407,250000,1,1,1,1
17123555,23975,42500,2,1,1,2
191023398,4371,175000,1,1,1,1
192006497,33997,62500,1,1,1,1
17130062,27094,-1,3,1,2,1
17130084,25922,17500,1,1,0,1
17149879,27644,87500,1,1,1,1
191015418,25634,17500,1,1,0,0
191032379,25634,17500,1,1,0,0
191005087,15950,5000,1,1,0,0
17128264,16194,125000,2,1,2,2
191021120,19126,125000,1,1,0,0
17141317,20615,30000,2,1,1,2
17153614,12384,87500,2,1,2,2
191045109,5352,62500,2,1,0,2
191032252,24321,250000,3,1,2,2
191019900,20544,17500,1,1,0,0
17125410,20544,30000,1,1,0,1
17113839,20544,42500,2,1,0,2
17140267,3406,-1,1,1,1,0
191052166,3406,62500,1,1,1,0
17153398,3406,225000,1,1,1,1
17107930,2546,87500,1,1,2,1
17101619,21893,175000,1,1,1,1
17122554,21893,62500,1,1,1,1
17130143,5804,87500,1,1,1,1
17113848,26542,42500,1,1,1,0
17143357,5804,62500,1,1,1,1
191014122,7973,30000,1,1,1,1
17109644,20665,17500,2,1,0,1
17108315,4136,5000,2,1,1,2
17114544,13932,225000,3,1,3,2
17114000,22442,125000,1,1,1,1
17107836,22442,62500,2,1,1,0
17102908,22442,30000,1,1,1,0
17104706,22442,62500,1,1,0,0
17142657,22442,175000,2,1,2,1
17137245,22442,62500,1,1,1,1
191001028,28618,-1,2,1,0,2
191009257,22442,225000,2,1,1,1
191005865,22442,250000,2,1,1,2
191005185,22442,-1,1,1,1,1
191016218,22442,87500,2,1,0,1
191016664,22442,42500,1,1,0,0
191018888,22442,125000,2,1,2,0
191019316,22442,125000,2,1,1,0
191031221,22442,125000,1,1,0,0
191035824,22442,42500,1,1,1,1
17114983,22442,-1,1,1,1,0
192009805,28618,250000,2,1,1,2
191052013,22442,125000,1,1,0,1
17141645,22442,87500,1,1,0,1
191031323,28618,87500,2,1,0,1
17109393,22442,125000,1,1,1,1
191047067,22442,125000,3,1,1,1
191029599,28618,250000,2,1,1,1
191003592,22442,175000,2,1,1,2
17100501,22442,62500,1,1,0,1
191030844,3426,-1,4,1,2,1
17132342,3426,225000,3,1,2,2
17118771,20462,87500,2,1,1,1
192011188,9504,250000,2,1,2,2
191025427,29379,250000,2,1,2,2
17109358,31377,62500,2,1,4,2
17113899,64683,62500,2,1,3,0
17136158,6885,175000,2,1,2,2
191007039,22695,125000,2,1,2,2
191051516,60968,62500,1,1,1,1
192000691,60968,62500,1,1,2,0
191037748,26119,125000,3,1,2,3
17104372,60639,17500,1,1,0,1
17102710,5651,250000,3,1,2,1
17114648,20665,42500,2,1,1,2
191017265,21653,125000,2,1,1,2
191031973,5683,250000,1,1,2,1
191045774,816,175000,2,1,1,2
17110007,9170,-1,3,1,3,3
17100952,1352,62500,2,1,1,0
17105790,21437,62500,1,1,1,1
191050860,12125,42500,2,1,2,2
17135427,6789,-1,3,1,1,1
192003096,31523,87500,4,1,2,2
191000869,5146,87500,1,1,1,1
191050391,940,-1,2,1,3,0
191051848,23515,250000,3,1,1,3
17134712,23515,62500,1,1,0,1
