tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
3352.0,1290,81.0,65,school,mandatory,33553,9778,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
3311.0,1280,80.0,65,school,mandatory,33553,9778,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
4377.0,1640,106.0,2005,school,mandatory,29891,21174,7.0,7.0,SHARED3FREE,0,,,37,,1out_0in
4336.0,1630,105.0,2005,school,mandatory,29891,21174,7.0,7.0,SHARED3FREE,0,,,37,,1out_0in
6345.0,2400,154.0,1407,school,mandatory,5056,1629,7.0,7.0,SHARED3FREE,0,,,37,,0out_0in
6304.0,2390,153.0,1407,school,mandatory,5056,1629,7.0,7.0,SHARED3FREE,0,,,37,,0out_0in
7214.0,2680,175.0,1287,work,mandatory,2836,1759,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_1in
7173.0,2670,174.0,1287,work,mandatory,2836,1759,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_1in
8600.0,3170,209.0,1006,school,mandatory,20988,14680,7.0,7.0,WALK,0,,,37,,0out_0in
8559.0,3160,208.0,1006,school,mandatory,20988,14680,7.0,7.0,WALK,0,,,37,,0out_0in
8846.0,3260,215.0,2090,school,mandatory,3079,26619,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
8805.0,3240,214.0,2090,school,mandatory,3079,26619,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
16931.0,6100,412.0,1537,work,mandatory,4158,13923,6.0,6.0,SHARED2FREE,0,,,19,no_subtours,0out_1in
16890.0,6090,411.0,1537,work,mandatory,4158,13923,6.0,6.0,SHARED2FREE,0,,,19,no_subtours,0out_1in
17259.0,6210,420.0,2640,work,mandatory,33547,14941,10.0,10.0,WALK,0,,,85,no_subtours,2out_0in
