household_id,hhno
1,17100005
2,17100024
3,17100052
4,17100059
5,17100060
6,17100102
7,17100108
8,17100111
9,17100137
10,17100149
11,17100179
12,17100203
13,17100208
14,17100221
15,17100231
16,17100233
17,17100238
18,17100248
19,17100255
20,17100280
21,17100291
22,17100303
23,17100326
24,17100342
25,17100372
26,17100410
27,17100411
28,17100414
29,17100418
30,17100433
31,17100441
32,17100458
33,17100477
34,17100482
35,17100492
36,17100501
37,17100563
38,17100569
39,17100590
40,17100627
41,17100652
42,17100654
43,17100663
44,17100673
45,17100675
46,17100681
47,17100717
48,17100739
49,17100760
50,17100761
51,17100789
52,17100794
53,17100800
54,17100807
55,17100818
56,17100822
57,17100834
58,17100836
59,17100837
60,17100859
61,17100868
62,17100889
63,17100892
64,17100907
65,17100908
66,17100924
67,17100939
68,17100942
69,17100952
70,17100957
71,17100964
72,17100982
73,17100984
74,17100986
75,17100992
76,17101013
77,17101031
78,17101042
79,17101064
80,17101079
81,17101086
82,17101128
83,17101130
84,17101179
85,17101213
86,17101223
87,17101236
88,17101240
89,17101250
90,17101263
91,17101275
92,17101291
93,17101319
94,17101325
95,17101335
96,17101344
97,17101375
98,17101379
99,17101385
100,17101391
101,17101436
102,17101448
103,17101469
104,17101489
105,17101504
106,17101517
107,17101545
108,17101592
109,17101606
110,17101617
111,17101619
112,17101626
113,17101635
114,17101657
115,17101667
116,17101681
117,17101692
118,17101697
119,17101698
120,17101704
121,17101714
122,17101720
123,17101745
124,17101785
125,17101792
126,17101852
127,17101853
128,17101855
129,17101867
130,17101873
131,17101882
132,17101886
133,17101898
134,17101909
135,17101922
136,17101928
137,17101944
138,17101947
139,17101949
140,17101953
141,17101956
142,17101985
143,17101988
144,17102003
145,17102061
146,17102109
147,17102166
148,17102227
149,17102252
150,17102269
151,17102273
152,17102274
153,17102276
154,17102280
155,17102289
156,17102313
157,17102374
158,17102387
159,17102398
160,17102408
161,17102449
162,17102461
163,17102466
164,17102485
165,17102502
166,17102549
167,17102556
168,17102575
169,17102577
170,17102578
171,17102608
172,17102618
173,17102628
174,17102630
175,17102637
176,17102671
177,17102684
178,17102694
179,17102695
180,17102710
181,17102713
182,17102737
183,17102783
184,17102787
185,17102798
186,17102804
187,17102819
188,17102866
189,17102872
190,17102905
191,17102908
192,17102910
193,17102932
194,17102944
195,17102966
196,17102986
197,17102988
198,17103022
199,17103031
200,17103038
201,17103050
202,17103059
203,17103110
204,17103114
205,17103138
206,17103147
207,17103148
208,17103211
209,17103241
210,17103242
211,17103302
212,17103415
213,17103428
214,17103454
215,17103456
216,17103477
217,17103500
218,17103517
219,17103533
220,17103538
221,17103557
222,17103574
223,17103587
224,17103594
225,17103614
226,17103623
227,17103640
228,17103648
229,17103659
230,17103660
231,17103670
232,17103672
233,17103677
234,17103741
235,17103751
236,17103779
237,17103798
238,17103802
239,17103809
240,17103824
241,17103826
242,17103836
243,17103838
244,17103861
245,17103902
246,17103913
247,17103947
248,17103972
249,17104088
250,17104095
251,17104105
252,17104125
253,17104147
254,17104158
255,17104170
256,17104171
257,17104190
258,17104197
259,17104222
260,17104227
261,17104236
262,17104247
263,17104255
264,17104281
265,17104299
266,17104300
267,17104358
268,17104366
269,17104372
270,17104383
271,17104395
272,17104399
273,17104412
274,17104433
275,17104434
276,17104440
277,17104449
278,17104459
279,17104468
280,17104494
281,17104500
282,17104552
283,17104562
284,17104563
285,17104567
286,17104571
287,17104575
288,17104576
289,17104578
290,17104598
291,17104601
292,17104602
293,17104614
294,17104617
295,17104639
296,17104647
297,17104657
298,17104658
299,17104660
300,17104674
301,17104679
302,17104683
303,17104706
304,17104711
305,17104729
306,17104750
307,17104764
308,17104801
309,17104821
310,17104824
311,17104847
312,17104856
313,17104871
314,17104887
315,17104893
316,17104945
317,17104948
318,17104994
319,17105047
320,17105052
321,17105064
322,17105094
323,17105098
324,17105153
325,17105165
326,17105172
327,17105201
328,17105205
329,17105207
330,17105221
331,17105228
332,17105231
333,17105242
334,17105246
335,17105256
336,17105257
337,17105262
338,17105280
339,17105298
340,17105310
341,17105316
342,17105336
343,17105392
344,17105409
345,17105443
346,17105445
347,17105449
348,17105472
349,17105483
350,17105515
351,17105536
352,17105549
353,17105581
354,17105606
355,17105614
356,17105645
357,17105658
358,17105662
359,17105672
360,17105678
361,17105684
362,17105689
363,17105693
364,17105694
365,17105719
366,17105747
367,17105759
368,17105766
369,17105772
370,17105773
371,17105784
372,17105785
373,17105789
374,17105790
375,17105791
376,17105792
377,17105814
378,17105827
379,17105864
380,17105875
381,17105889
382,17105906
383,17105908
384,17105916
385,17105920
386,17105922
387,17105939
388,17105948
389,17105979
390,17106011
391,17106012
392,17106015
393,17106017
394,17106028
395,17106044
396,17106057
397,17106087
398,17106132
399,17106157
400,17106183
401,17106184
402,17106190
403,17106208
404,17106248
405,17106277
406,17106278
407,17106282
408,17106329
409,17106340
410,17106344
411,17106349
412,17106376
413,17106381
414,17106390
415,17106402
416,17106422
417,17106440
418,17106442
419,17106470
420,17106495
421,17106496
422,17106518
423,17106574
424,17106580
425,17106594
426,17106643
427,17106645
428,17106648
429,17106670
430,17106680
431,17106691
432,17106727
433,17106760
434,17106776
435,17106823
436,17106824
437,17106835
438,17106847
439,17106854
440,17106864
441,17106876
442,17106909
443,17106918
444,17106929
445,17106946
446,17106949
447,17106965
448,17106970
449,17106974
450,17106999
451,17107001
452,17107020
453,17107025
454,17107032
455,17107033
456,17107051
457,17107077
458,17107090
459,17107099
460,17107131
461,17107139
462,17107141
463,17107142
464,17107175
465,17107176
466,17107192
467,17107220
468,17107221
469,17107244
470,17107251
471,17107255
472,17107269
473,17107319
474,17107342
475,17107376
476,17107409
477,17107410
478,17107488
479,17107490
480,17107519
481,17107534
482,17107543
483,17107567
484,17107572
485,17107602
486,17107607
487,17107619
488,17107628
489,17107677
490,17107689
491,17107695
492,17107705
493,17107716
494,17107730
495,17107742
496,17107773
497,17107789
498,17107812
499,17107836
500,17107845
501,17107885
502,17107902
503,17107907
504,17107913
505,17107930
506,17107940
507,17107944
508,17107945
509,17108000
510,17108016
511,17108039
512,17108043
513,17108094
514,17108135
515,17108200
516,17108239
517,17108247
518,17108281
519,17108291
520,17108306
521,17108315
522,17108351
523,17108358
524,17108422
525,17108430
526,17108437
527,17108441
528,17108450
529,17108459
530,17108473
531,17108474
532,17108492
533,17108500
534,17108508
535,17108513
536,17108536
537,17108543
538,17108576
539,17108595
540,17108640
541,17108643
542,17108678
543,17108721
544,17108723
545,17108727
546,17108735
547,17108749
548,17108798
549,17108799
550,17108814
551,17108833
552,17108859
553,17108866
554,17108877
555,17108908
556,17108918
557,17108973
558,17108982
559,17108994
560,17109021
561,17109023
562,17109064
563,17109093
564,17109107
565,17109109
566,17109114
567,17109116
568,17109120
569,17109129
570,17109131
571,17109138
572,17109147
573,17109164
574,17109212
575,17109239
576,17109298
577,17109308
578,17109358
579,17109367
580,17109388
581,17109393
582,17109407
583,17109408
584,17109418
585,17109425
586,17109436
587,17109444
588,17109451
589,17109495
590,17109504
591,17109509
592,17109521
593,17109527
594,17109542
595,17109547
596,17109555
597,17109580
598,17109586
599,17109601
600,17109606
601,17109615
602,17109644
603,17109646
604,17109651
605,17109657
606,17109680
607,17109690
608,17109692
609,17109703
