survey_tour_id,survey_participant_id,person_id,household_id,participant_num,tour_id,participant_id
31780,317810,10761,7063,1,441216.0,44121601.0
31780,317830,10763,7063,2,441216.0,44121602.0
31780,317840,10764,7063,3,441216.0,44121603.0
33510,335110,795,64,1,32614.0,3261401.0
33510,335120,796,64,2,32614.0,3261402.0
35220,352220,5685,4079,1,233104.0,23310401.0
35220,352230,5686,4079,2,233104.0,23310402.0
36070,360710,10855,6825,1,445074.0,44507401.0
36070,360720,10856,6825,2,445074.0,44507402.0
37130,371320,5726,5883,1,234781.0,23478101.0
37130,371330,5727,5883,2,234781.0,23478102.0
37300,373010,10878,8552,1,446013.0,44601301.0
37300,373030,10880,8552,2,446013.0,44601302.0
37290,372910,10878,8552,1,446019.0,44601901.0
37290,372930,10880,8552,2,446019.0,44601902.0
38340,383410,5761,5078,1,236220.0,23622001.0
38340,383420,5762,5078,2,236220.0,23622002.0
41540,415410,994,1991,1,40769.0,4076901.0
41540,415430,996,1991,2,40769.0,4076902.0
41550,415510,994,1991,1,40770.0,4077001.0
41550,415530,996,1991,2,40770.0,4077002.0
42870,428710,5874,5022,1,240853.0,24085301.0
42870,428730,5876,5022,2,240853.0,24085302.0
42870,428740,5877,5022,3,240853.0,24085303.0
46080,460810,1099,604,1,45074.0,4507401.0
46080,460830,1101,604,2,45074.0,4507402.0
46220,462210,1104,2190,1,45279.0,4527901.0
46220,462220,1105,2190,2,45279.0,4527902.0
46220,462230,1106,2190,3,45279.0,4527903.0
46710,467110,1125,1863,1,46140.0,4614001.0
46710,467130,1126,1863,2,46140.0,4614002.0
46870,468720,5961,5113,1,244416.0,24441601.0
46870,468740,5963,5113,2,244416.0,24441602.0
48180,481810,5988,3199,1,245523.0,24552301.0
48180,481820,5989,3199,2,245523.0,24552302.0
48400,484010,1166,2247,1,47823.0,4782301.0
48400,484020,1167,2247,2,47823.0,4782302.0
48460,484610,11149,8422,1,457122.0,45712201.0
48460,484620,11150,8422,2,457122.0,45712202.0
48460,484640,11152,8422,3,457122.0,45712203.0
50850,508510,6059,4361,1,248432.0,24843201.0
50850,508530,6061,4361,2,248432.0,24843202.0
51490,514910,6081,3091,1,249338.0,24933801.0
51490,514930,6083,3091,2,249338.0,24933802.0
57930,579320,1385,204,1,56800.0,5680001.0
57930,579330,1386,204,2,56800.0,5680002.0
57920,579210,6224,3151,1,255201.0,25520101.0
57920,579230,6226,3151,2,255201.0,25520102.0
58240,582410,6230,3596,1,255445.0,25544501.0
58240,582430,6232,3596,2,255445.0,25544502.0
59020,590210,1403,281,1,57540.0,5754001.0
59020,590220,1404,281,2,57540.0,5754002.0
60470,604710,6286,3255,1,257747.0,25774701.0
60470,604730,6288,3255,2,257747.0,25774702.0
62980,629810,6351,3011,1,260406.0,26040601.0
62980,629830,6352,3011,2,260406.0,26040602.0
63000,630010,11514,6127,1,472089.0,47208901.0
63000,630030,11515,6127,2,472089.0,47208902.0
65160,651610,1536,1048,1,62989.0,6298901.0
65160,651620,1537,1048,2,62989.0,6298902.0
65160,651630,1538,1048,3,62989.0,6298903.0
67380,673820,1587,1721,1,65082.0,6508201.0
67380,673830,1588,1721,2,65082.0,6508202.0
67370,673720,1587,1721,1,65088.0,6508801.0
67370,673730,1588,1721,2,65088.0,6508802.0
67400,674020,11641,7882,1,477296.0,47729601.0
67400,674030,11642,7882,2,477296.0,47729602.0
67500,675010,11646,8919,1,477501.0,47750101.0
67500,675030,11648,8919,2,477501.0,47750102.0
67970,679710,11658,7161,1,477997.0,47799701.0
67970,679730,11660,7161,2,477997.0,47799702.0
70780,707810,11725,8214,1,480738.0,48073801.0
70780,707830,11727,8214,2,480738.0,48073802.0
71020,710210,1635,366,1,67054.0,6705401.0
71020,710220,1636,366,2,67054.0,6705402.0
72490,724910,6601,5393,1,270660.0,27066001.0
72490,724930,6602,5393,2,270660.0,27066002.0
72500,725010,6601,5393,1,270662.0,27066201.0
72500,725030,6602,5393,2,270662.0,27066202.0
74900,749010,1723,1368,1,70656.0,7065601.0
74900,749030,1724,1368,2,70656.0,7065602.0
75280,752810,11842,8161,2,485619.0,48561902.0
75280,752830,11844,8161,1,485619.0,48561901.0
75290,752920,11843,8161,3,485623.0,48562303.0
75290,752930,11844,8161,1,485623.0,48562301.0
77510,775110,1787,1988,1,73286.0,7328601.0
77510,775120,1788,1988,2,73286.0,7328602.0
78210,782110,6734,5578,1,276113.0,27611301.0
78210,782130,6736,5578,2,276113.0,27611302.0
78220,782210,6734,5578,1,276114.0,27611401.0
78220,782230,6736,5578,2,276114.0,27611402.0
78410,784110,11918,6263,1,488659.0,48865901.0
78410,784120,11919,6263,2,488659.0,48865902.0
78410,784130,11920,6263,3,488659.0,48865903.0
80140,801420,11969,7844,1,490748.0,49074801.0
80140,801430,11970,7844,2,490748.0,49074802.0
81010,810120,1850,982,1,75865.0,7586501.0
81010,810130,1851,982,2,75865.0,7586502.0
81730,817310,1866,710,1,76519.0,7651901.0
81730,817330,1868,710,2,76519.0,7651902.0
82970,829710,1888,1854,1,77423.0,7742301.0
82970,829730,1890,1854,2,77423.0,7742302.0
82970,829740,1891,1854,3,77423.0,7742303.0
82960,829610,1888,1854,1,77429.0,7742901.0
82960,829630,1890,1854,2,77429.0,7742902.0
82960,829640,1891,1854,3,77429.0,7742903.0
84910,849110,1931,208,1,79190.0,7919001.0
84910,849120,1932,208,2,79190.0,7919002.0
84910,849130,1933,208,3,79190.0,7919003.0
85030,850310,6909,4488,1,283286.0,28328601.0
85030,850320,6910,4488,2,283286.0,28328602.0
85040,850410,6909,4488,1,283290.0,28329001.0
85040,850420,6910,4488,2,283290.0,28329002.0
85230,852310,1941,1123,1,79596.0,7959601.0
85230,852330,1943,1123,2,79596.0,7959602.0
85240,852410,1941,1123,1,79597.0,7959701.0
85240,852430,1943,1123,2,79597.0,7959702.0
85690,856910,6927,3686,1,284026.0,28402601.0
85690,856920,6928,3686,2,284026.0,28402602.0
85690,856930,6929,3686,3,284026.0,28402603.0
85690,856940,6930,3686,4,284026.0,28402604.0
85690,856950,6931,3686,5,284026.0,28402605.0
87180,871810,12108,8302,1,496443.0,49644301.0
87180,871830,12110,8302,2,496443.0,49644302.0
88880,888810,2021,751,1,82876.0,8287601.0
88880,888830,2023,751,2,82876.0,8287602.0
88900,889010,7019,3752,1,287794.0,28779401.0
88900,889020,7020,3752,2,287794.0,28779402.0
88940,889410,12163,6814,1,498702.0,49870201.0
88940,889430,12165,6814,2,498702.0,49870202.0
90140,901410,2035,898,1,83450.0,8345001.0
90140,901430,2037,898,2,83450.0,8345002.0
92670,926710,2111,241,1,86570.0,8657001.0
92670,926720,2112,241,2,86570.0,8657002.0
94350,943510,7147,5189,1,293046.0,29304601.0
94350,943530,7148,5189,2,293046.0,29304602.0
98900,989010,12401,8447,1,508462.0,50846201.0
98900,989030,12403,8447,2,508462.0,50846202.0
105420,1054210,2433,1815,1,99772.0,9977201.0
105420,1054230,2434,1815,2,99772.0,9977202.0
105430,1054310,7418,4873,1,304153.0,30415301.0
105430,1054330,7420,4873,2,304153.0,30415302.0
105460,1054610,12561,7983,1,515016.0,51501601.0
105460,1054630,12562,7983,2,515016.0,51501602.0
110310,1103120,12663,7309,1,519196.0,51919601.0
110310,1103130,12664,7309,2,519196.0,51919602.0
110470,1104710,12668,6242,1,519409.0,51940901.0
110470,1104720,12669,6242,2,519409.0,51940902.0
110470,1104730,12670,6242,3,519409.0,51940903.0
110470,1104740,12671,6242,4,519409.0,51940904.0
113660,1136620,12736,8988,1,522191.0,52219101.0
113660,1136630,12737,8988,2,522191.0,52219102.0
120180,1201810,12888,7364,1,528423.0,52842301.0
120180,1201820,12889,7364,2,528423.0,52842302.0
123240,1232410,7848,5350,1,321783.0,32178301.0
123240,1232420,7849,5350,2,321783.0,32178302.0
124060,1240610,7867,4734,1,322562.0,32256201.0
124060,1240630,7869,4734,2,322562.0,32256202.0
124300,1243020,7875,2957,1,322894.0,32289401.0
124300,1243050,7878,2957,2,322894.0,32289402.0
124680,1246810,7887,2996,1,323382.0,32338201.0
124680,1246830,7889,2996,2,323382.0,32338202.0
124690,1246910,7887,2996,1,323383.0,32338301.0
124690,1246930,7889,2996,2,323383.0,32338302.0
129250,1292510,2956,701,1,121215.0,12121501.0
129250,1292520,2957,701,2,121215.0,12121502.0
130670,1306720,8021,4135,1,328882.0,32888201.0
130670,1306730,8022,4135,2,328882.0,32888202.0
131810,1318120,8047,5486,1,329942.0,32994201.0
131810,1318130,8048,5486,2,329942.0,32994202.0
131810,1318140,8049,5486,3,329942.0,32994203.0
135380,1353810,3092,2258,1,126787.0,12678701.0
135380,1353830,3094,2258,2,126787.0,12678702.0
135420,1354210,13251,8433,1,543306.0,54330601.0
135420,1354230,13253,8433,2,543306.0,54330602.0
137170,1371720,13293,9054,1,545030.0,54503001.0
137170,1371730,13294,9054,2,545030.0,54503002.0
138060,1380610,13315,6634,1,545930.0,54593001.0
138060,1380640,13317,6634,2,545930.0,54593002.0
139170,1391710,3175,1268,1,130194.0,13019401.0
139170,1391720,3176,1268,2,130194.0,13019402.0
142150,1421520,3242,1625,1,132937.0,13293701.0
142150,1421530,3243,1625,2,132937.0,13293702.0
142140,1421420,3242,1625,1,132943.0,13294301.0
142140,1421430,3243,1625,2,132943.0,13294302.0
142160,1421620,8293,4648,1,340028.0,34002801.0
142160,1421630,8294,4648,2,340028.0,34002802.0
142170,1421720,13400,7774,3,549456.0,54945603.0
142170,1421730,13401,7774,1,549456.0,54945601.0
142130,1421310,13399,7774,2,549458.0,54945802.0
142130,1421330,13401,7774,1,549458.0,54945801.0
143830,1438320,8327,3514,1,341428.0,34142801.0
143830,1438340,8328,3514,2,341428.0,34142802.0
143740,1437410,13440,6590,1,551061.0,55106101.0
143740,1437420,13441,6590,2,551061.0,55106102.0
150440,1504410,8470,5474,1,347291.0,34729101.0
150440,1504430,8472,5474,2,347291.0,34729102.0
150440,1504440,8473,5474,3,347291.0,34729103.0
151500,1515010,3459,1122,1,141838.0,14183801.0
151500,1515030,3461,1122,2,141838.0,14183802.0
167390,1673930,8890,3791,1,364505.0,36450501.0
167390,1673940,8891,3791,2,364505.0,36450502.0
167350,1673520,8889,3791,3,364507.0,36450703.0
167350,1673530,8890,3791,1,364507.0,36450701.0
167350,1673540,8891,3791,2,364507.0,36450702.0
167400,1674030,14001,6850,1,574060.0,57406001.0
167400,1674040,14002,6850,2,574060.0,57406002.0
175680,1756810,9083,4460,1,372418.0,37241801.0
175680,1756820,9084,4460,2,372418.0,37241802.0
175860,1758610,4032,1678,1,165325.0,16532501.0
175860,1758620,4033,1678,2,165325.0,16532502.0
176070,1760710,4038,755,1,165575.0,16557501.0
176070,1760720,4039,755,2,165575.0,16557502.0
180470,1804710,9207,3414,1,377502.0,37750201.0
180470,1804720,9208,3414,2,377502.0,37750202.0
185470,1854710,9337,4312,1,382832.0,38283201.0
185470,1854720,9338,4312,2,382832.0,38283202.0
186770,1867720,4307,613,1,176606.0,17660601.0
186770,1867730,4308,613,2,176606.0,17660602.0
187270,1872710,4317,684,1,177016.0,17701601.0
187270,1872740,4320,684,2,177016.0,17701602.0
187310,1873110,14468,6737,1,593203.0,59320301.0
187310,1873140,14469,6737,2,593203.0,59320302.0
187540,1875410,4325,1982,1,177340.0,17734001.0
187540,1875420,4326,1982,2,177340.0,17734002.0
187540,1875430,4327,1982,3,177340.0,17734003.0
187550,1875510,9383,5059,2,384800.0,38480002.0
187550,1875530,9385,5059,1,384800.0,38480001.0
187620,1876220,9384,5059,3,384801.0,38480103.0
187620,1876230,9385,5059,1,384801.0,38480101.0
188690,1886910,9413,5933,1,385952.0,38595201.0
188690,1886930,9414,5933,2,385952.0,38595202.0
190390,1903910,9454,5750,1,387633.0,38763301.0
190390,1903920,9455,5750,2,387633.0,38763302.0
191210,1912110,4412,378,1,180909.0,18090901.0
191210,1912120,4413,378,2,180909.0,18090902.0
191230,1912310,9483,3350,1,388816.0,38881601.0
191230,1912330,9485,3350,2,388816.0,38881602.0
193520,1935210,4467,674,1,183162.0,18316201.0
193520,1935230,4469,674,2,183162.0,18316202.0
193520,1935250,4471,674,3,183162.0,18316203.0
193520,1935260,4472,674,4,183162.0,18316204.0
194240,1942410,14628,6716,1,599761.0,59976101.0
194240,1942440,14631,6716,2,599761.0,59976102.0
194250,1942510,14628,6716,1,599762.0,59976201.0
194250,1942530,14630,6716,3,599762.0,59976203.0
194250,1942540,14631,6716,2,599762.0,59976202.0
195110,1951110,4494,580,1,184269.0,18426901.0
195110,1951120,4495,580,2,184269.0,18426902.0
196180,1961810,4524,2219,1,185499.0,18549901.0
196180,1961830,4526,2219,2,185499.0,18549902.0
197480,1974810,9623,4267,1,394558.0,39455801.0
197480,1974820,9624,4267,2,394558.0,39455802.0
198450,1984510,4578,699,1,187711.0,18771101.0
198450,1984530,4579,699,2,187711.0,18771102.0
199950,1999510,4611,1365,1,189066.0,18906601.0
199950,1999520,4612,1365,2,189066.0,18906602.0
200370,2003720,4624,651,1,189603.0,18960301.0
200370,2003760,4625,651,2,189603.0,18960302.0
200370,2003770,4626,651,3,189603.0,18960303.0
200710,2007120,14820,8909,1,607635.0,60763501.0
200710,2007130,14821,8909,2,607635.0,60763502.0
201600,2016010,14845,6543,1,608666.0,60866601.0
201600,2016020,14846,6543,2,608666.0,60866602.0
202180,2021810,4658,712,1,190993.0,19099301.0
202180,2021820,4659,712,2,190993.0,19099302.0
205300,2053020,14955,8697,1,613170.0,61317001.0
205300,2053030,14956,8697,2,613170.0,61317002.0
205310,2053120,14955,8697,1,613171.0,61317101.0
205310,2053130,14956,8697,2,613171.0,61317102.0
206560,2065620,15001,6893,1,615056.0,61505601.0
206560,2065630,15002,6893,2,615056.0,61505602.0
206560,2065640,15003,6893,3,615056.0,61505603.0
208140,2081420,4781,609,1,196036.0,19603601.0
208140,2081430,4782,609,2,196036.0,19603602.0
209630,2096310,15063,6770,1,617598.0,61759801.0
209630,2096330,15065,6770,2,617598.0,61759802.0
209630,2096340,15066,6770,3,617598.0,61759803.0
