survey_tour_id,survey_participant_id,person_id,household_id,participant_num,tour_id,participant_id
1290,12910,24,319,1,1003.0,100301.0
1290,12920,25,319,2,1003.0,100302.0
3750,37510,4935,5155,1,202354.0,20235401.0
3750,37520,4936,5155,2,202354.0,20235402.0
3750,37530,4937,5155,3,202354.0,20235403.0
4320,43210,4952,4913,1,203051.0,20305101.0
4320,43220,4953,4913,2,203051.0,20305102.0
6120,61210,10138,8363,1,415675.0,41567501.0
6120,61230,10140,8363,2,415675.0,41567502.0
8800,88020,190,1983,1,7807.0,780701.0
8800,88030,191,1983,2,7807.0,780702.0
10390,103910,10258,8519,1,420597.0,42059701.0
10390,103920,10259,8519,2,420597.0,42059702.0
11060,110620,232,1064,1,9525.0,952501.0
11060,110630,233,1064,2,9525.0,952502.0
11050,110520,232,1064,1,9533.0,953301.0
11050,110530,233,1064,2,9533.0,953302.0
13680,136820,302,1187,1,12399.0,1239901.0
13680,136830,303,1187,3,12399.0,1239903.0
13680,136840,304,1187,4,12399.0,1239904.0
13680,136850,305,1187,2,12399.0,1239902.0
13690,136920,302,1187,1,12400.0,1240001.0
13690,136950,305,1187,2,12400.0,1240002.0
14200,142010,318,1151,1,13053.0,1305301.0
14200,142030,320,1151,2,13053.0,1305302.0
14210,142110,318,1151,1,13059.0,1305901.0
14210,142130,320,1151,2,13059.0,1305902.0
15250,152510,348,2042,1,14287.0,1428701.0
15250,152520,349,2042,2,14287.0,1428702.0
15250,152530,350,2042,3,14287.0,1428703.0
17850,178520,10398,8000,1,426333.0,42633301.0
17850,178530,10399,8000,2,426333.0,42633302.0
20150,201510,10471,8633,1,429324.0,42932401.0
20150,201530,10473,8633,2,429324.0,42932402.0
20400,204020,5357,3189,1,219654.0,21965401.0
20400,204040,5359,3189,2,219654.0,21965402.0
21700,217010,10507,9120,1,430802.0,43080201.0
21700,217020,10508,9120,2,430802.0,43080202.0
21700,217030,10509,9120,3,430802.0,43080203.0
25030,250320,587,2790,1,24082.0,2408201.0
25030,250330,588,2790,2,24082.0,2408202.0
27340,273410,5518,5975,1,226251.0,22625101.0
27340,273430,5520,5975,2,226251.0,22625102.0
28770,287710,10689,7262,1,438264.0,43826401.0
28770,287720,10690,7262,2,438264.0,43826402.0
