household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
1,23432,225000,4,1,1,2,0_tours
2,31547,62500,2,1,1,2,0_tours
3,28830,30000,1,1,0,1,0_tours
4,3871,30000,1,1,1,1,0_tours
5,21307,125000,2,1,1,2,0_tours
6,8493,125000,2,1,1,2,0_tours
7,61313,42500,1,1,2,1,0_tours
8,30481,30000,1,1,0,1,0_tours
9,33091,225000,2,1,0,2,0_tours
10,33091,-1,2,1,0,2,0_tours
11,4866,30000,1,1,1,1,0_tours
12,15980,125000,1,1,1,0,0_tours
13,30927,250000,4,1,1,2,0_tours
14,22648,225000,4,1,2,2,0_tours
15,7392,87500,1,1,1,1,0_tours
16,5087,-1,2,1,1,2,0_tours
17,22426,175000,2,1,2,2,0_tours
18,27201,62500,3,1,0,1,0_tours
19,15943,42500,2,1,1,2,0_tours
20,15943,62500,2,1,2,1,0_tours
21,15943,125000,1,1,2,1,0_tours
22,27154,-1,1,1,1,1,0_tours
23,33401,125000,1,1,1,1,0_tours
24,62840,-1,2,1,4,2,0_tours
25,19444,-1,2,1,2,1,0_tours
26,34077,87500,2,1,1,2,0_tours
27,35745,125000,3,1,1,1,0_tours
28,21931,5000,1,1,0,0,0_tours
29,33301,42500,1,1,1,1,0_tours
30,15440,87500,1,1,1,1,0_tours
31,29311,250000,3,1,1,2,0_tours
32,15985,125000,2,1,0,1,0_tours
33,18337,125000,1,1,1,1,0_tours
34,17546,125000,2,1,1,2,0_tours
35,27486,87500,2,1,1,2,0_tours
36,30329,-1,1,1,2,1,0_tours
38,29144,62500,3,1,0,1,0_tours
39,33604,62500,2,1,1,1,0_tours
40,15437,225000,3,1,1,2,0_tours
41,15456,-1,3,1,1,3,0_tours
42,25634,62500,1,1,1,1,0_tours
43,9414,62500,1,1,1,0,0_tours
44,57894,250000,4,1,2,2,0_tours
45,28983,42500,1,1,1,1,0_tours
46,24453,125000,1,1,1,1,0_tours
47,33218,87500,2,1,2,1,0_tours
48,15975,87500,2,1,0,2,0_tours
49,22080,125000,4,1,2,1,0_tours
50,20407,62500,2,1,4,1,0_tours
51,29680,87500,1,1,1,1,0_tours
52,9778,250000,5,1,4,2,0_tours
53,25272,17500,2,1,2,1,0_tours
54,5849,87500,1,1,1,1,0_tours
55,5849,125000,1,1,1,1,0_tours
56,5849,125000,1,1,1,1,0_tours
57,3892,125000,2,1,1,2,0_tours
58,25925,225000,2,1,2,1,0_tours
59,25925,30000,2,1,0,2,0_tours
60,63554,-1,5,1,8,4,0_tours
61,24496,17500,1,1,0,0,0_tours
62,24496,17500,1,1,0,0,0_tours
63,29541,-1,3,1,2,2,0_tours
64,29541,87500,3,1,1,1,1_Shop
65,29541,125000,2,1,1,2,0_tours
66,28362,250000,3,1,1,2,0_tours
67,11618,17500,1,1,0,1,0_tours
68,11618,62500,2,1,0,2,0_tours
69,12377,30000,1,1,1,0,0_tours
70,57442,-1,1,1,1,0,0_tours
71,15908,125000,4,1,2,2,0_tours
72,11616,5000,2,1,0,0,0_tours
73,4863,42500,1,1,1,1,0_tours
74,3894,62500,1,1,0,1,0_tours
75,6153,125000,2,1,2,2,0_tours
76,6153,125000,2,1,0,1,0_tours
77,6153,125000,1,1,0,1,0_tours
78,6153,42500,2,1,0,1,0_tours
79,3894,62500,1,1,0,1,0_tours
80,6153,5000,2,1,1,2,0_tours
81,6153,125000,2,1,0,2,0_tours
82,3894,62500,1,1,1,0,0_tours
83,6153,87500,2,1,0,2,0_tours
84,62294,125000,2,1,3,2,0_tours
85,19136,125000,3,1,1,2,0_tours
86,6507,125000,2,1,2,0,0_tours
87,19157,125000,2,1,1,2,0_tours
88,19157,175000,2,1,2,2,0_tours
89,19157,-1,1,1,1,1,0_tours
90,19157,125000,2,1,1,1,0_tours
91,19157,62500,2,1,2,2,0_tours
93,20615,62500,1,1,0,1,0_tours
94,12855,62500,4,1,4,2,0_tours
95,21457,87500,1,1,1,0,0_tours
96,20044,175000,2,1,1,2,0_tours
97,28850,175000,1,1,1,1,0_tours
98,28850,225000,3,1,1,3,0_tours
99,6906,250000,4,1,1,1,0_tours
100,2907,175000,2,1,2,2,0_tours
101,7699,62500,2,1,2,2,0_tours
102,55431,17500,4,1,0,0,0_tours
103,16511,125000,2,1,3,1,0_tours
104,12566,125000,2,1,2,2,0_tours
105,18807,17500,1,1,1,0,0_tours
