tour_id,household_id,participant_id,person_id,participant_num
18,17100342_2,181,16,1
18,17100342_2,182,17,2
31,17100652_2,311,24,1
31,17100652_2,312,25,2
31,17100652_2,313,26,3
93,17101375_2,933,70,1
93,17101375_2,934,71,2
123,17101720_2,1231,89,1
123,17101720_2,1232,90,2
124,17101720_2,1241,89,1
124,17101720_2,1242,90,2
130,17101852_2,1301,91,1
130,17101852_2,1302,92,2
129,17101852_2,1291,91,1
129,17101852_2,1292,92,2
148,17102166_2,1482,104,1
148,17102166_2,1484,106,2
163,17102449_2,1631,115,1
163,17102449_2,1632,116,2
171,17102577_2,1712,122,1
171,17102577_2,1714,124,2
202,17103114_2,2021,149,1
202,17103114_2,2022,150,2
254,17104255_2,2542,190,1
254,17104255_2,2543,191,2
254,17104255_2,2544,192,3
289,17104801_2,2891,215,1
289,17104801_2,2892,216,2
294,17104948_2,2941,220,1
294,17104948_2,2942,221,2
315,17105256_2,3152,232,1
315,17105256_2,3153,233,2
315,17105256_2,3154,234,3
314,17105256_2,3142,232,1
314,17105256_2,3143,233,2
314,17105256_2,3144,234,3
324,17105262_2,3241,237,1
324,17105262_2,3242,238,2
362,17105689_2,3621,264,1
362,17105689_2,3622,265,2
379,17105948_2,3791,279,1
379,17105948_2,3792,280,2
397,17106183_2,3971,287,1
397,17106183_2,3972,288,2
400,17106248_2,4001,290,1
400,17106248_2,4002,291,2
404,17106344_2,4043,294,1
404,17106344_2,4044,295,2
415,17106442_2,4152,302,1
415,17106442_2,4153,303,4
415,17106442_2,4154,304,5
415,17106442_2,4155,305,2
415,17106442_2,4156,306,3
416,17106442_2,4162,302,1
416,17106442_2,4165,305,2
416,17106442_2,4166,306,3
439,17106854_2,4391,318,1
439,17106854_2,4393,320,2
439,17106854_2,4394,321,3
440,17106854_2,4401,318,1
440,17106854_2,4403,320,2
440,17106854_2,4404,321,3
471,17107376_2,4711,346,1
471,17107376_2,4712,347,2
474,17107409_2,4741,348,1
474,17107409_2,4742,349,2
474,17107409_2,4743,350,3
474,17107409_2,4744,351,4
499,17107836_2,4991,365,1
499,17107836_2,4992,366,2
531,17108422_2,5311,383,1
531,17108422_2,5312,384,2
550,17108536_2,5502,396,1
550,17108536_2,5503,397,2
578,17109093_2,5781,411,1
578,17109093_2,5782,412,2
591,17109527_2,5911,421,1
591,17109527_2,5912,422,2
614,17109776_2,6141,438,1
614,17109776_2,6142,439,2
619,17109802_2,6191,440,1
619,17109802_2,6192,441,2
658,17110378_2,6582,465,1
658,17110378_2,6584,467,2
663,17110481_2,6631,471,1
663,17110481_2,6632,472,2
691,17111317_2,6911,494,1
691,17111317_2,6912,495,2
729,17111909_2,7292,521,2
729,17111909_2,7293,522,3
725,17111909_2,7251,520,1
725,17111909_2,7254,523,4
