person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
11320,8147,2,2,1,3,1,8,24504.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13963,8146,40,1,2,1,3,1,-1.0,13688.0,0,M,work1,0,0,0,0,0,0,0
10745,8145,50,1,2,1,3,1,-1.0,13107.0,0,N,,0,0,0,1,0,0,1
10094,8144,30,1,1,3,3,4,-1.0,-1.0,0,N,,1,0,0,1,0,0,33
10095,8144,30,2,2,1,3,1,-1.0,21009.0,0,M,work1,0,0,0,0,0,0,0
10847,8143,40,1,2,1,3,1,-1.0,58517.0,0,H,,0,0,0,0,0,0,0
11605,8142,21,1,2,2,3,2,-1.0,24499.0,0,M,work1,0,0,0,0,0,0,0
11606,8142,30,2,1,1,3,1,-1.0,1316.0,0,H,,0,0,0,0,0,0,0
12365,8141,30,1,2,1,3,1,-1.0,12555.0,0,H,,0,0,0,0,0,0,0
12366,8141,30,2,1,1,3,1,-1.0,12555.0,0,H,,0,0,0,0,0,0,0
14474,8140,30,1,2,2,3,2,-1.0,1645.0,0,M,work1,2,0,0,0,0,0,64
14475,8140,40,2,1,1,3,1,-1.0,17914.0,0,M,work1,0,0,0,0,0,0,0
14476,8140,2,3,2,3,1,8,3752.0,-1.0,0,M,school1,0,0,0,0,0,0,0
14477,8140,2,4,2,3,1,8,3752.0,-1.0,0,M,school1,0,0,0,0,0,0,0
12501,8139,21,1,1,2,2,3,12926.0,3390.0,0,M,work1,0,0,0,0,0,0,0
10621,8138,21,1,2,2,2,3,12926.0,17735.0,0,M,work1,0,0,0,0,0,0,0
12331,8137,30,1,1,1,3,1,-1.0,23087.0,0,M,work1,0,0,0,0,1,0,4
12332,8137,30,2,2,1,3,1,-1.0,65641.0,0,M,work1,0,0,0,0,0,0,0
11827,8136,40,1,1,1,3,1,-1.0,14478.0,1,H,,0,0,0,0,0,0,0
11828,8136,40,2,2,3,2,3,12926.0,-1.0,0,M,school1,0,0,0,0,1,1,6
11829,8136,8,3,1,3,1,7,25582.0,-1.0,0,H,,0,0,0,0,0,0,0
