tour_id,participant_id,person_id,household_id,participant_num
129,1291,24,319,1
129,1292,25,319,2
375,3751,4935,5155,1
375,3752,4936,5155,2
375,3753,4937,5155,3
432,4321,4952,4913,1
432,4322,4953,4913,2
612,6121,10138,8363,1
612,6123,10140,8363,2
880,8802,190,1983,1
880,8803,191,1983,2
1039,10391,10258,8519,1
1039,10392,10259,8519,2
1106,11062,232,1064,1
1106,11063,233,1064,2
1105,11052,232,1064,1
1105,11053,233,1064,2
1368,13682,302,1187,1
1368,13683,303,1187,3
1368,13684,304,1187,4
1368,13685,305,1187,2
1369,13692,302,1187,1
1369,13695,305,1187,2
1420,14201,318,1151,1
1420,14203,320,1151,2
1421,14211,318,1151,1
1421,14213,320,1151,2
1525,15251,348,2042,1
1525,15252,349,2042,2
1525,15253,350,2042,3
1785,17852,10398,8000,1
1785,17853,10399,8000,2
2015,20151,10471,8633,1
2015,20153,10473,8633,2
2040,20402,5357,3189,1
2040,20404,5359,3189,2
2170,21701,10507,9120,1
2170,21702,10508,9120,2
2170,21703,10509,9120,3
2503,25032,587,2790,1
2503,25033,588,2790,2
2734,27341,5518,5975,1
2734,27343,5520,5975,2
2877,28771,10689,7262,1
2877,28772,10690,7262,2
3178,31781,10761,7063,1
3178,31783,10763,7063,2
3178,31784,10764,7063,3
3351,33511,795,64,1
3351,33512,796,64,2
3522,35222,5685,4079,1
3522,35223,5686,4079,2
3607,36071,10855,6825,1
3607,36072,10856,6825,2
3713,37132,5726,5883,1
3713,37133,5727,5883,2
3730,37301,10878,8552,1
3730,37303,10880,8552,2
3729,37291,10878,8552,1
3729,37293,10880,8552,2
3834,38341,5761,5078,1
3834,38342,5762,5078,2
4154,41541,994,1991,1
4154,41543,996,1991,2
4155,41551,994,1991,1
4155,41553,996,1991,2
4287,42871,5874,5022,1
4287,42873,5876,5022,2
4287,42874,5877,5022,3
4608,46081,1099,604,1
4608,46083,1101,604,2
4622,46221,1104,2190,1
4622,46222,1105,2190,2
4622,46223,1106,2190,3
4671,46711,1125,1863,1
4671,46713,1126,1863,2
4687,46872,5961,5113,1
4687,46874,5963,5113,2
4818,48181,5988,3199,1
4818,48182,5989,3199,2
4840,48401,1166,2247,1
4840,48402,1167,2247,2
4846,48461,11149,8422,1
4846,48462,11150,8422,2
4846,48464,11152,8422,3
5085,50851,6059,4361,1
5085,50853,6061,4361,2
5149,51491,6081,3091,1
5149,51493,6083,3091,2
5793,57932,1385,204,1
5793,57933,1386,204,2
5792,57921,6224,3151,1
5792,57923,6226,3151,2
5824,58241,6230,3596,1
5824,58243,6232,3596,2
5902,59021,1403,281,1
5902,59022,1404,281,2
6047,60471,6286,3255,1
6047,60473,6288,3255,2
6298,62981,6351,3011,1
6298,62983,6352,3011,2
6300,63001,11514,6127,1
6300,63003,11515,6127,2
6516,65161,1536,1048,1
6516,65162,1537,1048,2
6516,65163,1538,1048,3
6738,67382,1587,1721,1
6738,67383,1588,1721,2
6737,67372,1587,1721,1
6737,67373,1588,1721,2
6740,67402,11641,7882,1
6740,67403,11642,7882,2
6750,67501,11646,8919,1
6750,67503,11648,8919,2
6797,67971,11658,7161,1
6797,67973,11660,7161,2
7078,70781,11725,8214,1
7078,70783,11727,8214,2
7102,71021,1635,366,1
7102,71022,1636,366,2
7249,72491,6601,5393,1
7249,72493,6602,5393,2
7250,72501,6601,5393,1
7250,72503,6602,5393,2
7490,74901,1723,1368,1
7490,74903,1724,1368,2
7528,75281,11842,8161,2
7528,75283,11844,8161,1
7529,75292,11843,8161,3
7529,75293,11844,8161,1
7751,77511,1787,1988,1
7751,77512,1788,1988,2
7821,78211,6734,5578,1
7821,78213,6736,5578,2
7822,78221,6734,5578,1
7822,78223,6736,5578,2
7841,78411,11918,6263,1
7841,78412,11919,6263,2
7841,78413,11920,6263,3
8014,80142,11969,7844,1
8014,80143,11970,7844,2
8101,81012,1850,982,1
8101,81013,1851,982,2
8173,81731,1866,710,1
8173,81733,1868,710,2
8297,82971,1888,1854,1
8297,82973,1890,1854,2
8297,82974,1891,1854,3
8296,82961,1888,1854,1
8296,82963,1890,1854,2
8296,82964,1891,1854,3
8491,84911,1931,208,1
8491,84912,1932,208,2
8491,84913,1933,208,3
8503,85031,6909,4488,1
8503,85032,6910,4488,2
8504,85041,6909,4488,1
8504,85042,6910,4488,2
8523,85231,1941,1123,1
8523,85233,1943,1123,2
8524,85241,1941,1123,1
8524,85243,1943,1123,2
8569,85691,6927,3686,1
8569,85692,6928,3686,2
8569,85693,6929,3686,3
8569,85694,6930,3686,4
8569,85695,6931,3686,5
8718,87181,12108,8302,1
8718,87183,12110,8302,2
8888,88881,2021,751,1
8888,88883,2023,751,2
8890,88901,7019,3752,1
8890,88902,7020,3752,2
8894,88941,12163,6814,1
8894,88943,12165,6814,2
9014,90141,2035,898,1
9014,90143,2037,898,2
9267,92671,2111,241,1
9267,92672,2112,241,2
9435,94351,7147,5189,1
9435,94353,7148,5189,2
9890,98901,12401,8447,1
9890,98903,12403,8447,2
10542,105421,2433,1815,1
10542,105423,2434,1815,2
10543,105431,7418,4873,1
10543,105433,7420,4873,2
10546,105461,12561,7983,1
10546,105463,12562,7983,2
11031,110312,12663,7309,1
11031,110313,12664,7309,2
11047,110471,12668,6242,1
11047,110472,12669,6242,2
11047,110473,12670,6242,3
11047,110474,12671,6242,4
11366,113662,12736,8988,1
11366,113663,12737,8988,2
12018,120181,12888,7364,1
12018,120182,12889,7364,2
12324,123241,7848,5350,1
12324,123242,7849,5350,2
12406,124061,7867,4734,1
12406,124063,7869,4734,2
12430,124302,7875,2957,1
12430,124305,7878,2957,2
12468,124681,7887,2996,1
12468,124683,7889,2996,2
12469,124691,7887,2996,1
12469,124693,7889,2996,2
12925,129251,2956,701,1
12925,129252,2957,701,2
13067,130672,8021,4135,1
13067,130673,8022,4135,2
13181,131812,8047,5486,1
13181,131813,8048,5486,2
13181,131814,8049,5486,3
13538,135381,3092,2258,1
13538,135383,3094,2258,2
13542,135421,13251,8433,1
13542,135423,13253,8433,2
13717,137172,13293,9054,1
13717,137173,13294,9054,2
13806,138061,13315,6634,1
13806,138064,13317,6634,2
13917,139171,3175,1268,1
13917,139172,3176,1268,2
14215,142152,3242,1625,1
14215,142153,3243,1625,2
14214,142142,3242,1625,1
14214,142143,3243,1625,2
14216,142162,8293,4648,1
14216,142163,8294,4648,2
14217,142172,13400,7774,3
14217,142173,13401,7774,1
14213,142131,13399,7774,2
14213,142133,13401,7774,1
14383,143832,8327,3514,1
14383,143834,8328,3514,2
14374,143741,13440,6590,1
14374,143742,13441,6590,2
15044,150441,8470,5474,1
15044,150443,8472,5474,2
15044,150444,8473,5474,3
15150,151501,3459,1122,1
15150,151503,3461,1122,2
16739,167393,8890,3791,1
16739,167394,8891,3791,2
16735,167352,8889,3791,3
16735,167353,8890,3791,1
16735,167354,8891,3791,2
16740,167403,14001,6850,1
16740,167404,14002,6850,2
17568,175681,9083,4460,1
17568,175682,9084,4460,2
17586,175861,4032,1678,1
17586,175862,4033,1678,2
17607,176071,4038,755,1
17607,176072,4039,755,2
18047,180471,9207,3414,1
18047,180472,9208,3414,2
18547,185471,9337,4312,1
18547,185472,9338,4312,2
18677,186772,4307,613,1
18677,186773,4308,613,2
18727,187271,4317,684,1
18727,187274,4320,684,2
18731,187311,14468,6737,1
18731,187314,14469,6737,2
18754,187541,4325,1982,1
18754,187542,4326,1982,2
18754,187543,4327,1982,3
18755,187551,9383,5059,2
18755,187553,9385,5059,1
18762,187622,9384,5059,3
18762,187623,9385,5059,1
18869,188691,9413,5933,1
18869,188693,9414,5933,2
19039,190391,9454,5750,1
19039,190392,9455,5750,2
19121,191211,4412,378,1
19121,191212,4413,378,2
19123,191231,9483,3350,1
19123,191233,9485,3350,2
19352,193521,4467,674,1
19352,193523,4469,674,2
19352,193525,4471,674,3
19352,193526,4472,674,4
19424,194241,14628,6716,1
19424,194244,14631,6716,2
19425,194251,14628,6716,1
19425,194253,14630,6716,3
19425,194254,14631,6716,2
19511,195111,4494,580,1
19511,195112,4495,580,2
19618,196181,4524,2219,1
19618,196183,4526,2219,2
19748,197481,9623,4267,1
19748,197482,9624,4267,2
19845,198451,4578,699,1
19845,198453,4579,699,2
19995,199951,4611,1365,1
19995,199952,4612,1365,2
20037,200372,4624,651,1
20037,200376,4625,651,2
20037,200377,4626,651,3
20071,200712,14820,8909,1
20071,200713,14821,8909,2
20160,201601,14845,6543,1
20160,201602,14846,6543,2
20218,202181,4658,712,1
20218,202182,4659,712,2
20530,205302,14955,8697,1
