tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
121.0,20,2.0,17100108_2,work,mandatory,34769,30000,9.0,9.0,Other,0,,,70,no_subtours,0out_0in
162.0,30,3.0,17100108_2,work,mandatory,21009,30000,9.0,9.0,WALK,0,,,70,no_subtours,0out_0in
367.0,60,8.0,17100203_2,work,mandatory,18493,3305,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
400.0,70,9.0,17100203_2,school,mandatory,2090,3305,9.0,9.0,SHARED3FREE,0,,,70,,0out_0in
695.0,170,16.0,17100342_2,work,mandatory,21615,21436,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
777.0,210,18.0,17100410_2,work,mandatory,33878,746,9.0,9.0,WALK_LOC,0,,,70,no_subtours,0out_1in
900.0,250,21.0,17100482_2,work,mandatory,18358,29643,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_1in
982.0,280,23.0,17100590_2,work,mandatory,21009,14948,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
1261.0,420,30.0,17100760_2,school,mandatory,5582,29932,8.0,8.0,SHARED2FREE,0,,,54,,0out_1in
1302.0,430,31.0,17100760_2,school,mandatory,35047,29932,6.0,6.0,WALK_LOC,0,,,19,,0out_0in
1351.0,440,32.0,17100818_2,work,mandatory,15372,4369,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_2in
1474.0,450,35.0,17100836_2,work,mandatory,61076,34606,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
1515.0,460,36.0,17100836_2,work,mandatory,24982,34606,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,1out_1in
1548.0,470,37.0,17100836_2,school,mandatory,6387,34606,8.0,8.0,SHARED2FREE,0,,,54,,0out_0in
1720.0,510,41.0,17100889_2,work,mandatory,16608,13571,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
1761.0,530,42.0,17100892_2,work,mandatory,18760,35782,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,1out_1in
1794.0,540,43.0,17100892_2,school,mandatory,1110,35782,8.0,8.0,SHARED2FREE,0,,,54,,0out_0in
1884.0,550,45.0,17100908_2,work,mandatory,15689,8672,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
1925.0,560,46.0,17100942_2,work,mandatory,32318,21671,10.0,10.0,WALK_LOC,0,,,85,no_subtours,2out_1in
2048.0,570,49.0,17100964_2,work,mandatory,9683,35782,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,0out_0in
2212.0,620,53.0,17101079_2,work,mandatory,43628,48990,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
2376.0,670,57.0,17101130_2,work,mandatory,3189,31711,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
2417.0,690,58.0,17101223_2,work,mandatory,29987,9778,8.0,8.0,SHARED3FREE,0,,,54,no_subtours,1out_1in
2491.0,730,60.0,17101223_2,school,mandatory,25914,9778,7.0,7.0,WALK_LOC,0,,,37,,0out_0in
2704.0,850,65.0,17101319_2,work,mandatory,3190,3894,9.0,9.0,WALK_LR,0,,,70,no_subtours,0out_0in
2786.0,880,67.0,17101325_2,work,mandatory,1633,12055,10.0,10.0,SHARED2FREE,0,,,85,no_subtours,0out_0in
2827.0,890,68.0,17101335_2,work,mandatory,11479,31885,9.0,9.0,SHARED3FREE,0,,,70,no_subtours,0out_1in
3065.0,1020,74.0,17101504_2,school,mandatory,21021,13934,8.0,8.0,WALK,0,,,54,,0out_0in
3106.0,1030,75.0,17101504_2,school,mandatory,11613,13934,7.0,7.0,SHARED2FREE,0,,,37,,1out_0in
3188.0,1070,77.0,17101545_2,school,mandatory,6499,12265,7.0,7.0,WALK_LOC,0,,,37,,0out_1in
3237.0,1090,78.0,17101617_2,work,mandatory,2836,16343,10.0,10.0,DRIVEALONEFREE,0,,,85,no_subtours,0out_1in
3401.0,1140,82.0,17101635_2,work,mandatory,23258,4369,5.0,5.0,WALK_LOC,0,,,0,no_subtours,0out_0in
3483.0,1150,84.0,17101667_2,work,mandatory,30746,13418,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
3524.0,1170,85.0,17101667_2,work,mandatory,5156,13418,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
3811.0,1310,92.0,17101852_2,work,mandatory,4146,24288,9.0,9.0,SHARED2FREE,0,,,70,no_subtours,1out_0in
3852.0,1340,93.0,17101853_2,work,mandatory,33284,31541,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
4016.0,1370,97.0,17101886_2,work,mandatory,16322,18086,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,1out_2in
4057.0,1380,98.0,17101947_2,work,mandatory,8127,34184,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
4098.0,1400,99.0,17101949_2,work,mandatory,24469,28834,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,1out_2in
4221.0,1440,102.0,17102061_2,work,mandatory,17735,9012,7.0,7.0,WALK_LOC,0,,,37,no_subtours,1out_0in
4377.0,1530,106.0,17102166_2,school,mandatory,14402,13106,15.0,15.0,WALK,0,,,145,,0out_0in
4467.0,1540,108.0,17102252_2,work,mandatory,25921,9822,9.0,9.0,WALK,0,,,70,no_subtours,0out_0in
4508.0,1570,109.0,17102269_2,work,mandatory,321,22971,16.0,16.0,DRIVEALONEFREE,0,,,154,no_subtours,0out_3in
4549.0,1580,110.0,17102273_2,work,mandatory,10518,14944,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_1in
4836.0,1650,117.0,17102461_2,work,mandatory,28831,26150,10.0,10.0,DRIVEALONEFREE,0,,,85,no_subtours,0out_1in
4918.0,1670,119.0,17102549_2,work,mandatory,2878,8239,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
4959.0,1690,120.0,17102549_2,work,mandatory,21002,8239,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_0in
5074.0,1720,123.0,17102577_2,school,mandatory,5056,1629,7.0,7.0,SHARED2FREE,0,,,37,,0out_0in
5156.0,1750,125.0,17102578_2,school,mandatory,12926,10824,10.0,10.0,WALK,0,,,85,,0out_0in
5246.0,1780,127.0,17102618_2,work,mandatory,20072,19437,6.0,6.0,WALK,0,,,19,no_subtours,0out_0in
5287.0,1790,128.0,17102630_2,work,mandatory,11084,19367,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
5369.0,1810,130.0,17102684_2,work,mandatory,14450,16542,8.0,8.0,WALK_LOC,0,,,54,no_subtours,1out_0in
5402.0,1820,131.0,17102684_2,school,mandatory,33008,16542,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
5615.0,1840,136.0,17102819_2,work,mandatory,7004,12055,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,1out_3in
5738.0,1900,139.0,17102910_2,work,mandatory,30989,23527,9.0,9.0,WALK,0,,,70,no_subtours,0out_0in
5771.0,1910,140.0,17102944_2,school,mandatory,15990,35782,7.0,7.0,SHARED3FREE,0,,,37,,0out_2in
5779.0,1920,140.0,17102944_2,work,mandatory,14270,35782,16.0,16.0,SHARED3FREE,0,,,154,no_subtours,2out_0in
5820.0,1930,141.0,17102944_2,work,mandatory,18756,35782,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
5943.0,1960,144.0,17102986_2,work,mandatory,3190,22144,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_1in
6099.0,2000,148.0,17103059_2,school,mandatory,15990,27200,13.0,13.0,WALK_LOC,0,,,124,,0out_0in
6189.0,2030,150.0,17103114_2,work,mandatory,31221,17158,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
6271.0,2060,152.0,17103147_2,work,mandatory,4587,17763,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_1in
6312.0,2080,153.0,17103211_2,work,mandatory,10172,11499,12.0,12.0,DRIVEALONEFREE,0,,,112,no_subtours,0out_0in
6353.0,2090,154.0,17103242_2,work,mandatory,33099,13173,7.0,7.0,WALK,0,,,37,no_subtours,2out_0in
6394.0,2100,155.0,17103302_2,work,mandatory,66016,24474,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,0out_2in
6435.0,2110,156.0,17103415_2,work,mandatory,15447,19243,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_1in
6517.0,2140,158.0,17103454_2,work,mandatory,15778,1189,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_1in
6722.0,2210,163.0,17103538_2,work,mandatory,9417,31883,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_1in
6927.0,2260,168.0,17103640_2,work,mandatory,30601,29845,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_0in
6968.0,2270,169.0,17103660_2,work,mandatory,14536,1648,8.0,8.0,WALK,0,,,54,no_subtours,0out_0in
7050.0,2300,171.0,17103672_2,work,mandatory,2878,34339,7.0,7.0,WALK_LR,0,,,37,no_subtours,0out_2in
7173.0,2340,174.0,17103751_2,work,mandatory,15707,11815,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
7255.0,2360,176.0,17103809_2,work,mandatory,3411,12628,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_0in
7296.0,2370,177.0,17103838_2,work,mandatory,8776,24500,5.0,5.0,WALK_LOC,0,,,0,no_subtours,0out_0in
7337.0,2420,178.0,17103861_2,work,mandatory,1648,34887,16.0,16.0,WALK,0,,,154,no_subtours,0out_0in
7542.0,2460,183.0,17104158_2,work,mandatory,10960,20745,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
7583.0,2470,184.0,17104170_2,work,mandatory,6165,3875,11.0,11.0,DRIVEALONEFREE,0,,,99,no_subtours,0out_0in
7739.0,2520,188.0,17104222_2,school,mandatory,15990,10241,8.0,8.0,WALK_LOC,0,,,54,,0out_2in
7788.0,2530,189.0,17104255_2,work,mandatory,34886,9232,10.0,10.0,DRIVEALONEFREE,0,,,85,no_subtours,0out_0in
8026.0,2600,195.0,17104395_2,school,mandatory,5156,24575,7.0,7.0,SHARED2FREE,0,,,37,,0out_0in
8116.0,2610,197.0,17104449_2,work,mandatory,7303,35782,6.0,6.0,SHARED2FREE,0,,,19,no_subtours,1out_1in
8157.0,2630,198.0,17104449_2,work,mandatory,12926,35782,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_1in
8190.0,2650,199.0,17104449_2,school,mandatory,14019,35782,6.0,6.0,SHARED2FREE,0,,,19,,0out_0in
8362.0,2710,203.0,17104602_2,work,mandatory,24072,3865,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
8403.0,2720,204.0,17104614_2,work,mandatory,7723,19304,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_0in
8526.0,2740,207.0,17104647_2,work,mandatory,3190,5046,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
8641.0,2780,210.0,17104647_2,school,mandatory,19030,5046,9.0,9.0,SHARED3FREE,0,,,70,,0out_0in
8772.0,2850,213.0,17104674_2,work,mandatory,49496,51083,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
8936.0,2910,217.0,17104821_2,work,mandatory,15668,24261,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
8977.0,2920,218.0,17104945_2,work,mandatory,16985,22426,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
9018.0,2930,219.0,17104945_2,work,mandatory,34504,22426,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
9223.0,2990,224.0,17105098_2,work,mandatory,21460,33323,9.0,9.0,WALK,0,,,70,no_subtours,1out_0in
9428.0,3100,229.0,17105207_2,work,mandatory,56594,30767,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
9469.0,3110,230.0,17105221_2,work,mandatory,32320,16429,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_0in
9510.0,3130,231.0,17105256_2,work,mandatory,33090,3824,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
9674.0,3210,235.0,17105257_2,work,mandatory,4360,21644,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
9715.0,3220,236.0,17105257_2,work,mandatory,16453,21644,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
9838.0,3260,239.0,17105310_2,work,mandatory,27666,723,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_2in
9879.0,3270,240.0,17105316_2,work,mandatory,23087,17144,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,0out_2in
9920.0,3280,241.0,17105316_2,work,mandatory,22647,17144,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,1out_3in
9961.0,3290,242.0,17105392_2,work,mandatory,8581,30985,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_1in
10002.0,3310,243.0,17105392_2,work,mandatory,31955,30985,11.0,11.0,DRIVEALONEFREE,0,,,99,no_subtours,3out_0in
10158.0,3370,247.0,17105445_2,school,mandatory,26015,34991,8.0,8.0,SHARED3FREE,0,,,54,,0out_0in
10199.0,3380,248.0,17105445_2,school,mandatory,6487,34991,8.0,8.0,SHARED3FREE,0,,,54,,1out_1in
10248.0,3390,249.0,17105449_2,work,mandatory,200,4125,7.0,7.0,WALK,0,,,37,no_subtours,0out_2in
10289.0,3400,250.0,17105483_2,work,mandatory,34273,24575,7.0,7.0,WALK,0,,,37,no_subtours,0out_2in
10330.0,3410,251.0,17105483_2,work,mandatory,15448,24575,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_1in
10412.0,3430,253.0,17105536_2,work,mandatory,29891,41701,5.0,5.0,SHARED2FREE,0,,,0,no_subtours,2out_0in
10453.0,3440,254.0,17105549_2,work,mandatory,26814,14450,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,1out_1in
10494.0,3460,255.0,17105614_2,work,mandatory,33120,11613,10.0,10.0,WALK,0,,,85,no_subtours,0out_0in
