tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
3,4843.0,3005,shopping,non_mandatory,1057,32658,9.0,9.0,SHARED2FREE,0
1,4842.0,3005,shopping,non_mandatory,1057,32658,9.0,9.0,SHARED2FREE,0
23,4852.0,5265,othmaint,non_mandatory,22160,15699,18.0,18.0,SHARED2FREE,0
21,4851.0,5265,othmaint,non_mandatory,22160,15699,18.0,18.0,SHARED2FREE,0
37,10.0,1529,escort,non_mandatory,8883,3305,9.0,9.0,SHARED3FREE,0
38,10.0,1529,escort,non_mandatory,8883,3305,15.0,15.0,SHARED3FREE,0
33,7.0,1529,escort,non_mandatory,8883,3305,9.0,9.0,SHARED3FREE,0
34,7.0,1529,escort,non_mandatory,8883,3305,15.0,15.0,SHARED3FREE,0
77,10015.0,8767,shopping,non_mandatory,9505,1469,20.0,20.0,SHARED2FREE,0
89,17.0,258,othdiscr,non_mandatory,19853,21436,19.0,19.0,SHARED2FREE,0
84,16.0,258,othdiscr,non_mandatory,19853,21436,19.0,19.0,SHARED2FREE,0
141,26.0,319,shopping,non_mandatory,1057,5804,17.0,17.0,SHARED3FREE,0
129,24.0,319,shopping,joint,1057,5804,17.0,17.0,SHARED3FREE,0
147,10032.0,7428,work,mandatory,26814,18260,7.0,7.0,SHARED2FREE,0
163,10039.0,6612,othmaint,non_mandatory,42061,47208,11.0,11.0,SHARED2FREE,0
161,10038.0,6612,othmaint,non_mandatory,42061,47208,11.0,11.0,SHARED2FREE,0
212,4901.0,3430,escort,non_mandatory,19631,20407,15.0,15.0,SHARED3FREE,0
211,4901.0,3430,shopping,non_mandatory,14587,20407,12.0,12.0,SHARED2FREE,0
209,4898.0,3430,escort,non_mandatory,19631,20407,15.0,15.0,SHARED3FREE,0
208,4898.0,3430,shopping,non_mandatory,14587,20407,12.0,12.0,SHARED2FREE,0
245,10059.0,6267,shopping,non_mandatory,9660,34887,20.0,20.0,SHARED2FREE,0
242,10058.0,6267,shopping,non_mandatory,9660,34887,20.0,20.0,SHARED2FREE,0
294,4920.0,2987,othmaint,non_mandatory,9336,9778,15.0,15.0,SHARED2FREE,0
300,62.0,52,school,mandatory,33553,9778,8.0,8.0,SHARED3FREE,0
