trip_id,survey_trip_id,person_id,household_id,survey_tour_id,outbound,purpose,destination,origin,depart,trip_mode,tour_id,trip_num
3409545.0,141370.0,10394,6245,17670.0,True,work,12926,35782,8.0,WALK_LOC,426193.0,1
3409549.0,141410.0,10394,6245,17670.0,False,Home,35782,12926,17.0,WALK_LOC,426193.0,1
1734449.0,141770.0,5287,3000,17720.0,True,work,2076,29541,9.0,DRIVEALONEFREE,216806.0,1
1734453.0,141810.0,5287,3000,17720.0,False,othmaint,29541,2076,18.0,DRIVEALONEFREE,216806.0,1
1734454.0,141820.0,5287,3000,17720.0,False,eatout,9652,29541,20.0,DRIVEALONEFREE,216806.0,2
1734455.0,141830.0,5287,3000,17720.0,False,Home,29541,9652,20.0,DRIVEALONEFREE,216806.0,3
134681.0,141850.0,410,782,17730.0,True,othdiscr,39644,38021,17.0,DRIVEALONEFREE,16835.0,1
134685.0,141890.0,410,782,17730.0,False,Home,38021,39644,20.0,DRIVEALONEFREE,16835.0,1
3410201.0,141930.0,10396,8842,17740.0,True,work,17961,35782,7.0,DRIVEALONEFREE,426275.0,1
3410205.0,141970.0,10396,8842,17740.0,False,Home,35782,17961,15.0,DRIVEALONEFREE,426275.0,1
3410153.0,142010.0,10396,8842,17750.0,True,shopping,1633,35782,18.0,WALK,426269.0,1
3410157.0,142050.0,10396,8842,17750.0,False,Home,35782,1633,18.0,WALK,426269.0,1
1734729.0,142090.0,5288,3529,17760.0,True,shopping,47307,40969,10.0,DRIVEALONEFREE,216841.0,1
1734733.0,142130.0,5288,3529,17760.0,False,Home,40969,47307,11.0,DRIVEALONEFREE,216841.0,1
135033.0,142170.0,411,975,17770.0,True,othmaint,13685,29670,10.0,WALK_LOC,16879.0,1
135037.0,142210.0,411,975,17770.0,False,Home,29670,13685,11.0,WALK_LOC,16879.0,1
135009.0,142250.0,411,975,17780.0,True,othdiscr,8259,29670,15.0,WALK,16876.0,1
135013.0,142290.0,411,975,17780.0,False,Home,29670,8259,16.0,WALK,16876.0,1
135449.0,142330.0,412,975,17790.0,True,work,11270,29670,8.0,DRIVEALONEFREE,16931.0,1
135453.0,142370.0,412,975,17790.0,False,Home,29670,11270,14.0,DRIVEALONEFREE,16931.0,1
135337.0,142410.0,412,975,17800.0,True,othdiscr,8259,29670,15.0,WALK,16917.0,1
135341.0,142450.0,412,975,17800.0,False,Home,29670,8259,16.0,WALK,16917.0,1
135345.0,142490.0,412,975,17810.0,True,othdiscr,21467,29670,18.0,DRIVEALONEFREE,16918.0,1
135349.0,142530.0,412,975,17810.0,False,Home,29670,21467,21.0,DRIVEALONEFREE,16918.0,1
3410529.0,142570.0,10397,8000,17820.0,True,work,11518,2193,7.0,DRIVEALONEFREE,426316.0,1
3410533.0,142610.0,10397,8000,17820.0,False,Home,2193,11518,17.0,DRIVEALONEFREE,426316.0,1
3410617.0,142650.0,10398,8000,17830.0,True,escort,4245,2193,8.0,SHARED3FREE,426327.0,1
3410621.0,142690.0,10398,8000,17830.0,False,Home,2193,4245,8.0,DRIVEALONEFREE,426327.0,1
