BLDGSZ,HHID,HHT,NOC,PERSONS,PUMA5,SERIALNO,TAZ,TENURE,UNITTYPE,VEHICL,bucketBin,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,hNOCcat,hadkids,hadnwst,hadwpst,hinccat1,hinccat2,hmultiunit,hownrent,hsizecat,htypdwel,hunittype,hwrkrcat,income,workers,MAZ,is_mf,hhagecat,hfamily,h0004,hwork_f,hwork_p,huniv,hnwork,hretire,hpresch,hschpred,hschdriv,originalPUMA
2,243704,1,2,1,11506,2013000586461,345,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,2,210000,1,28825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,243705,3,1,1,11506,2013000591844,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,1,210000,1,720,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243706,1,2,1,11506,2013000597876,348,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,2,210000,1,28012,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,243707,6,0,1,11506,2013000628208,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,210000,1,7137,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243708,1,0,1,11506,2013000670841,348,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,3,210000,1,7137,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243709,1,3,1,11506,2013000671858,348,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,1,210000,1,28012,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243710,1,3,1,11506,2013000671858,348,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,1,210000,1,26632,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,243711,1,0,1,11506,2013000694358,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,210000,1,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,243712,1,0,1,11506,2013000694358,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,210000,1,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,243713,1,0,1,11506,2013000694358,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,104000,1,19487,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
