BLDGSZ,HHID,HHT,NOC,PERSONS,PUMA5,SERIALNO,TAZ,TENURE,UNITTYPE,VEHICL,bucketBin,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,hNOCcat,hadkids,hadnwst,hadwpst,hinccat1,hinccat2,hmultiunit,hownrent,hsizecat,htypdwel,hunittype,hwrkrcat,income,workers,MAZ,is_mf,hhagecat,hfamily,h0004,hwork_f,hwork_p,huniv,hnwork,hretire,hpresch,hschpred,hschdriv,originalPUMA
5,243714,1,0,1,11506,2013000694358,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,125000,1,17506,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,243715,1,0,1,11506,2013000694358,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,1,1,1,2,1,0,163800,0,48,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243716,1,2,1,11506,2013000705297,345,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,2,163800,0,31470,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243717,1,1,1,11506,2013000709853,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,1,1,1,1,2,225100,0,28011,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243718,1,1,1,11506,2013000709853,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,2,163800,0,25044,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243719,1,1,1,11506,2013000709853,348,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,2,351000,0,7136,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243720,1,1,1,11506,2013000709853,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,2,1,1,1,2,120100,0,28011,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243721,2,2,1,11506,2013000737093,345,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,220000,0,28825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,243722,1,0,1,11506,2013000744910,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,1,351000,0,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243723,1,1,1,11506,2013000758100,348,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,2,220000,0,13640,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243724,1,1,1,11506,2013000758100,348,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,2,1,1,1,2,120100,0,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243725,3,1,1,11506,2013000758268,348,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,220000,0,28007,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243726,3,1,1,11506,2013000758268,348,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,1,1,1,1,1,172500,0,23713,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243727,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,220000,0,7136,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243728,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,187600,0,14604,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243729,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,220000,0,23713,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243730,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,220000,0,16975,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243731,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,1,351000,0,16975,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243732,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,2,1,1,1,1,120100,0,29609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243886,1,0,2,11506,2014000210648,348,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,4,9,0,1,2,1,1,2,208400,1,29609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243733,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,102900,0,7137,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243734,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,1,102900,0,26632,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243735,3,4,1,11506,2013000789679,348,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,2,1,1,1,1,120100,0,16976,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,243736,3,1,1,11506,2013000795726,348,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,1,351000,0,24258,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,243737,6,0,1,11506,2013000807175,348,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,0,351000,0,7137,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243738,3,0,1,11506,2013000812705,348,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,1,1,1,3,1,1,220000,0,720,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243739,1,1,1,11506,2013000833620,345,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,2,1,1,1,3,120100,0,31470,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,243740,6,0,1,11506,2013000845190,348,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,351000,0,29609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,243741,6,0,1,11506,2013000845190,348,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,1,1,1,2,1,0,351000,0,16976,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243742,1,2,1,11506,2013000859839,348,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,1,1,1,1,3,351000,0,17506,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,243743,1,0,1,11506,2013000865117,348,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,2,1,2,1,2,120100,0,26632,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243744,1,0,1,11506,2013000868383,348,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,1,1,1,3,40900,0,28012,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243745,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,1,1,3,1,2,35000,0,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243746,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,1,3,1,2,23160,0,7135,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243747,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,1,1,3,1,2,28800,0,14604,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243748,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,1,3,1,2,23160,0,25044,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243749,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,1,2,18070,0,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243750,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,1,3,1,2,23160,0,25044,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243751,1,3,1,11506,2013000869886,345,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,1,3,1,2,23160,0,31470,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243752,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,1,2,18070,0,17506,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243753,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,1,1,3,1,2,28800,0,48,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243754,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,3,1,2,19500,0,720,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243755,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,1,2,15500,0,14602,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243756,1,3,1,11506,2013000869886,345,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,3,1,2,19500,0,28825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243757,1,3,1,11506,2013000869886,345,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,1,2,18070,0,31470,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243758,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,1,1,3,1,2,150000,1,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243759,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,1,1,1,3,1,2,140000,1,14604,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243760,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,1,1,1,3,1,2,115000,1,28007,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243761,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,1,1,3,1,2,161900,0,28008,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243762,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,1,1,3,1,2,158500,0,14609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243763,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,1,1,3,1,2,161900,0,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243764,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,1,1,3,1,2,161900,0,13638,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243765,1,3,1,11506,2013000869886,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,1,1,3,1,2,161900,0,29609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243766,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,1,1,1,1,2,32400,0,13640,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243767,1,3,1,11506,2013000884832,345,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,2,19500,0,31470,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243768,1,3,1,11506,2013000884832,345,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,1,1,1,2,28500,0,28826,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243769,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,1,1,1,2,28500,0,19487,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243770,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,1,1,1,2,21000,0,16976,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243771,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,2,18000,0,48,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243772,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,2,18900,0,28010,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243773,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,1,1,1,2,20950,1,28012,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243774,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,1,1,1,1,2,162700,0,19487,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243775,1,3,1,11506,2013000884832,345,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,2,164000,0,28826,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243776,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,2,164000,0,7135,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243777,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,1,1,2,28800,0,7137,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243778,1,3,1,11506,2013000884832,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,1,1,2,22000,0,29609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243779,5,0,1,11506,2013000886524,348,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,1,1,0,22000,0,13640,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243780,1,3,1,11506,2013000898035,345,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,2,17700,0,28825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,243781,3,2,1,11506,2013000898154,348,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,1,1,2,1,0,473000,1,24258,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,243782,3,2,1,11506,2013000898154,348,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,1,1,2,1,0,473000,1,16975,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,243783,3,2,1,11506,2013000898154,348,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,1,1,2,1,0,473000,1,17506,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243784,1,1,1,11506,2013000900180,348,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,1,1,1,1,2,473000,1,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243785,1,1,1,11506,2013000900180,348,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0,1,1,1,1,2,151000,1,23713,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243786,1,1,1,11506,2013000900180,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,1,1,1,1,2,108800,0,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243787,1,1,1,11506,2013000900180,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,1,1,2,27000,0,720,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243788,1,1,1,11506,2013000900180,348,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,2,16700,0,26632,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,243789,7,0,1,11506,2013000932391,348,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,1,1,1,2,1,0,155000,1,177,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,243790,7,0,1,11506,2013000932391,348,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,1,1,2,1,0,120000,1,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243791,6,0,1,11506,2013000940905,345,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,1,0,26000,1,28826,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243792,6,0,1,11506,2013000940905,345,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,1,0,26000,1,28826,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243793,1,0,1,11506,2013000942063,348,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,1,1,1,1,26240,0,13640,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243794,1,0,1,11506,2013000942063,345,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,1,1,17400,0,28825,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243795,1,0,1,11506,2013000942063,348,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,1,1,18000,0,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243796,1,0,1,11506,2013000980522,348,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,1,1,18000,0,19487,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243797,1,0,1,11506,2013000980522,348,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,1,1,18000,0,14602,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243798,1,0,1,11506,2013000986915,348,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,1,2,18000,0,26632,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243799,2,0,1,11506,2013001000974,348,3,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,1,1,1,16000,1,28011,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243800,2,0,1,11506,2013001000974,348,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,1,16100,0,17506,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243801,2,0,1,11506,2013001000974,348,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,1,1,1,22000,0,17506,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243802,2,0,1,11506,2013001000974,348,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,1,16800,0,26632,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243803,2,0,1,11506,2013001000974,348,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,1,16800,0,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243804,1,0,1,11506,2013001020437,348,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,1,0,16800,0,7135,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243805,1,0,2,11506,2013001028120,348,1,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,9,0,1,2,1,1,2,205000,2,29609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243806,1,0,2,11506,2013001028120,348,1,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,9,0,1,2,1,1,2,240000,2,14609,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243807,1,0,2,11506,2013001031476,348,2,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,9,0,1,2,1,1,0,276000,1,7135,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243808,6,0,2,11506,2013001050886,348,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,9,0,1,2,1,1,0,228000,0,17507,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243809,4,0,2,11506,2013001062056,348,2,1,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,9,0,1,2,1,1,0,281200,0,25044,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243810,4,0,2,11506,2013001075375,348,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,9,1,1,2,3,1,0,168900,0,13640,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,243811,4,0,2,11506,2013001075375,348,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,9,1,1,2,3,1,0,293000,0,28007,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243812,1,0,2,11506,2013001094252,348,2,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,9,0,1,2,1,1,2,228000,0,25665,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,243813,1,2,2,11506,2013001137491,348,3,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,9,0,1,2,1,1,1,281200,0,19487,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,243814,1,2,2,11506,2013001137491,348,3,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,9,0,1,2,1,1,1,132030,2,28012,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,243815,1,2,2,11506,2013001137491,348,3,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,9,0,1,2,1,1,1,132030,2,25044,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,243816,1,1,2,11506,2013001140610,348,1,1,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,9,0,1,2,1,1,2,132030,2,48,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
