,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,tripsh1,tripsh2,tdadtyp,destination,tdpcl,tardest,tlvdest,parent_tour_id,subtrs,tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id
14,442,1469,1164885.0,Home,995,17100303_2,1710030301_2,Thursday,Work,1,2,Work,4101.0,961980.0,472,940,0,1,14,SHARED3FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
36,506,63106,1245205.0,Home,1117,17100675_2,1710067501_2,Thursday,Work,2,1,Work,59901.0,661366.0,535,1099,0,1,36,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
48,470,25918,1038320.0,Home,1065,17100837_2,1710083701_2,Thursday,Work,2,1,Work,3415.0,870311.0,560,1050,0,1,48,WALK,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
98,485,13934,113301.0,Home,1100,17101504_2,1710150401_2,Thursday,Work,2,2,Work,9526.0,1096447.0,540,1050,0,1,98,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
119,390,13418,629830.0,Home,1345,17101667_2,1710166704_2,Thursday,Work,1,4,Work,1790.0,662888.0,420,990,0,1,119,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
127,510,24288,823140.0,Home,960,17101852_2,1710185201_2,Thursday,Work,1,1,Work,4146.0,1256707.0,550,945,0,1,127,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
197,459,34887,67921.0,Home,1086,17103050_2,1710305001_2,Thursday,Work,2,1,Work,34223.0,943191.0,515,1072,0,1,197,SHARED3FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
297,460,11352,587070.0,Home,1060,17105094_2,1710509401_2,Thursday,Work,1,2,Work,17735.0,1214338.0,485,1020,0,1,297,BIKE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
333,510,34991,861575.0,Home,1080,17105445_2,1710544501_2,Thursday,Work,1,1,Work,12656.0,441907.0,545,1050,0,1,333,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
387,540,19691,1015894.0,Home,1105,17106057_2,1710605701_2,Thursday,Work,1,1,Work,21009.0,150351.0,565,1080,0,1,387,WALK,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
430,390,26430,1249259.0,Home,990,17106670_2,1710667002_2,Thursday,Work,1,1,Work,24046.0,1069930.0,420,960,0,1,430,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
437,440,22123,67940.0,Home,1235,17106835_2,1710683501_2,Thursday,Work,1,2,Work,2418.0,1243421.0,480,1060,0,1,437,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
452,448,19887,896858.0,Home,1061,17106949_2,1710694901_2,Thursday,Work,1,1,Work,8457.0,802146.0,471,1028,0,1,452,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
555,481,10314,907186.0,Home,1103,17108595_2,1710859502_2,Thursday,Work,1,1,Work,23191.0,131219.0,511,1063,0,1,555,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
559,977,11281,929350.0,Home,1004,17108678_2,1710867801_2,Thursday,work,1,1,other,16176.0,35686.0,983,998,0,0,559,DRIVEALONEFREE,,mandatory,16.0,16.0,mandatory,3,work3,work3
560,1108,11281,929350.0,Home,1132,17108678_2,1710867801_2,Thursday,work,1,1,other,460.0,991696.0,1115,1125,0,0,560,WALK,,mandatory,18.0,18.0,mandatory,4,work4,work4
567,420,1768,60803.0,Home,1100,17108908_2,1710890801_2,Thursday,Work,1,3,Work,14542.0,607397.0,435,870,0,2,567,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
574,511,22955,106838.0,Home,1164,17108982_2,1710898201_2,Thursday,Work,1,2,Work,3390.0,777127.0,529,1060,0,1,574,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
612,470,17246,999849.0,Home,1070,17109776_2,1710977601_2,Thursday,Work,1,1,Work,20528.0,828799.0,490,1050,0,1,612,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
653,600,28030,159765.0,Home,1160,17110364_2,1711036401_2,Thursday,Work,1,1,Work,28335.0,814956.0,620,1140,0,1,653,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
701,450,1648,1172992.0,Home,855,17111622_2,1711162201_2,Thursday,Work,1,1,Work,26814.0,1092118.0,460,845,0,1,701,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
744,405,62294,29550.0,Home,1100,17111939_2,1711193901_2,Thursday,Work,1,2,Work,55308.0,770386.0,425,1030,0,1,744,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
746,405,62294,29550.0,Home,1000,17111939_2,1711193902_2,Thursday,Work,1,1,Work,59317.0,54881.0,420,960,0,1,746,SHARED2FREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
749,390,4096,1132577.0,Home,1000,17111983_2,1711198301_2,Thursday,Work,1,3,Work,14270.0,820462.0,420,855,0,1,749,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
