,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,tripsh1,tripsh2,tdadtyp,destination,tdpcl,tardest,tlvdest,parent_tour_id,subtrs,tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id,PNUM,joint_tour,participant_num,outbound_stops,inbound_stops,stop_frequency
66,1108,9778,827205.0,Home,1273,17101223_2,1710122301_2,Thursday,escort,1,6,other,9130.0,951328.0,1273,1108,0,0,71,SHARED2FREE,,non_mandatory,18.0,18.0,non_mandatory,1,9,escort1,1,67.0,1,0,5,0out_5in
80,570,49061,400248.0,Home,660,17101240_2,1710124002_2,Thursday,othmaint,1,5,other,49903.0,472223.0,660,570,0,0,83,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,28,othmaint1,2,81.0,2,0,4,0out_4in
86,464,20955,1017658.0,Home,1029,17101375_2,1710137502_2,Thursday,work,5,2,other,29310.0,1005177.0,1029,775,0,0,90,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,87.0,2,4,1,4out_1in
96,475,13934,113301.0,Home,1260,17101504_2,1710150402_2,Thursday,social,7,1,other,20448.0,1169272.0,1260,990,0,0,101,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,36,social1,2,97.0,2,6,0,6out_0in
136,1058,28834,818795.0,Home,1311,17101949_2,1710194902_2,Thursday,shopping,7,1,other,18633.0,801925.0,1311,1200,0,0,143,SHARED2FREE,,non_mandatory,17.0,17.0,non_mandatory,1,33,shopping1,2,137.0,2,6,0,6out_0in
139,485,13106,917405.0,Home,1085,17102166_2,1710216601_2,Thursday,work,5,1,other,3893.0,56469.0,1085,840,0,0,146,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,1,140.0,1,4,0,4out_0in
159,541,44591,248979.0,Home,856,17102502_2,1710250201_2,Thursday,othdiscr,7,1,other,50021.0,373076.0,856,764,0,0,166,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,25,othdiscr1,1,160.0,1,6,0,6out_0in
187,338,64560,745511.0,Home,1223,17102966_2,1710296601_2,Thursday,othdiscr,2,11,other,64636.0,1224212.0,1223,475,0,0,194,SHARED2FREE,,non_mandatory,5.0,5.0,non_mandatory,1,25,othdiscr1,1,188.0,1,1,10,1out_10in
235,633,19909,698772.0,Home,965,17104088_2,1710408801_2,Thursday,social,1,5,other,14650.0,57906.0,965,633,0,0,243,SHARED2FREE,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,1,236.0,1,0,4,0out_4in
543,642,11281,929350.0,Home,873,17108678_2,1710867801_2,Thursday,work,2,8,other,30139.0,147699.0,873,663,0,0,558,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,2,40,work2,1,544.0,1,1,7,1out_7in
